row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2016 > Số dư,Ngày 31 tháng 12 năm 2016 > Dự phòng,Ngày 31 tháng 12 năm 2016 > Giá trị hợp lý,Ngày 1 tháng 9 năm 2016 > Số dư,Ngày 1 tháng 9 năm 2016 > Dự phòng,Ngày 1 tháng 9 năm 2016 > Giá trị hợp lý,numeric__Ngày 31 tháng 12 năm 2016 > Số dư,numeric__Ngày 31 tháng 12 năm 2016 > Dự phòng,numeric__Ngày 31 tháng 12 năm 2016 > Giá trị hợp lý,numeric__Ngày 1 tháng 9 năm 2016 > Số dư,numeric__Ngày 1 tháng 9 năm 2016 > Dự phòng,numeric__Ngày 1 tháng 9 năm 2016 > Giá trị hợp lý
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,1.715.075.612.152,-,1.715.075.612.152,1.518.361.614.475,-,1.518.361.614.475,1715075612152.0,,1715075612152.0,1518361614475.0,,1518361614475.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,19.878.068.121,-,19.878.068.121,19.532.570.852,-,19.532.570.852,19878068121.0,,19878068121.0,19532570852.0,,19532570852.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.734.953.680.273,-,1.734.953.680.273,1.537.894.185.327,-,1.537.894.185.327,1734953680273.0,,1734953680273.0,1537894185327.0,,1537894185327.0
