row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2016 > Giá trị,Ngày 31 tháng 12 năm 2016 > Số có khả năng trả nợ,Đơn vị tính: VND > Ngày 1 tháng 9 năm 2016 > Giá trị,Đơn vị tính: VND > Ngày 1 tháng 9 năm 2016 > Số có khả năng trả nợ,numeric__Ngày 31 tháng 12 năm 2016 > Giá trị,numeric__Ngày 31 tháng 12 năm 2016 > Số có khả năng trả nợ,numeric__Đơn vị tính: VND > Ngày 1 tháng 9 năm 2016 > Giá trị,numeric__Đơn vị tính: VND > Ngày 1 tháng 9 năm 2016 > Số có khả năng trả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải trả cho người bán,Ngắn hạn > Phải trả cho người bán,Phải trả cho người bán,106.639.439.081,106.639.439.081,102.740.277.554,102.740.277.554,106639439081.0,106639439081.0,102740277554.0,102740277554.0
- Công ty TNHH Samartex Timber and Plywood,Ngắn hạn > - Công ty TNHH Samartex Timber and Plywood,- Công ty TNHH Samartex Timber and Plywood,6.375.183.095,6.375.183.095,1.846.262.917,1.846.262.917,6375183095.0,6375183095.0,1846262917.0,1846262917.0
- Công ty Cổ phần Địa ốc Đà Lạt,Ngắn hạn > - Công ty Cổ phần Địa ốc Đà Lạt,- Công ty Cổ phần Địa ốc Đà Lạt,5.600.000.000,5.600.000.000,5.600.000.000,5.600.000.000,5600000000.0,5600000000.0,5600000000.0,5600000000.0
- Đặng Xuân Thủy,Ngắn hạn > - Đặng Xuân Thủy,- Đặng Xuân Thủy,5.828.788.979,5.828.788.979,4.350.584.686,4.350.584.686,5828788979.0,5828788979.0,4350584686.0,4350584686.0
- Hoàng Hữu Hùng,Ngắn hạn > - Hoàng Hữu Hùng,- Hoàng Hữu Hùng,4.197.295.400,4.197.295.400,2.888.733.300,2.888.733.300,4197295400.0,4197295400.0,2888733300.0,2888733300.0
- Công ty Promo Incorporationi Fze,Ngắn hạn > - Công ty Promo Incorporationi Fze,- Công ty Promo Incorporationi Fze,4.108.773.880,4.108.773.880,-,-,4108773880.0,4108773880.0,,
- Công ty TNHH Thương mại Ánh Dương,Ngắn hạn > - Công ty TNHH Thương mại Ánh Dương,- Công ty TNHH Thương mại Ánh Dương,4.036.926.800,4.036.926.800,922.194.000,922.194.000,4036926800.0,4036926800.0,922194000.0,922194000.0
- Công ty TNHH Tech Wood International,Ngắn hạn > - Công ty TNHH Tech Wood International,- Công ty TNHH Tech Wood International,-,-,10.649.389.542,10.649.389.542,,,10649389542.0,10649389542.0
- Công ty TNHH HardWood Partners Aps - Part of HValsoe Sawmill,Ngắn hạn > - Công ty TNHH HardWood Partners Aps - Part of HValsoe Sawmill,- Công ty TNHH HardWood Partners Aps - Part of HValsoe Sawmill,-,-,7.562.915.545,7.562.915.545,,,7562915545.0,7562915545.0
- Công ty TNHH AICA Đồng Nai,Ngắn hạn > - Công ty TNHH AICA Đồng Nai,- Công ty TNHH AICA Đồng Nai,4.384.257.083,4.384.257.083,6.272.259.199,6.272.259.199,4384257083.0,4384257083.0,6272259199.0,6272259199.0
- Công ty TNHH Hóa Keo Kỹ Thuật,Ngắn hạn > - Công ty TNHH Hóa Keo Kỹ Thuật,- Công ty TNHH Hóa Keo Kỹ Thuật,4.176.494.383,4.176.494.383,2.344.840.558,2.344.840.558,4176494383.0,4176494383.0,2344840558.0,2344840558.0
- Phải trả đối tượng khác,Ngắn hạn > - Phải trả đối tượng khác,- Phải trả đối tượng khác,67.931.719.461,67.931.719.461,60.303.097.807,60.303.097.807,67931719461.0,67931719461.0,60303097807.0,60303097807.0
Phải trả cho các bên liên quan (Thuyết minh số 28),Ngắn hạn > Phải trả cho các bên liên quan (Thuyết minh số 28),Phải trả cho các bên liên quan (Thuyết minh số 28),109.642.195,109.642.195,36.943.380,36.943.380,109642195.0,109642195.0,36943380.0,36943380.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,106.749.081.276,106.749.081.276,102.777.220.934,102.777.220.934,106749081276.0,106749081276.0,102777220934.0,102777220934.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Phải trả cho người bán,Dài hạn > Phải trả cho người bán,Phải trả cho người bán,497.035.331,497.035.331,10.660.500,10.660.500,497035331.0,497035331.0,10660500.0,10660500.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,497.035.331,497.035.331,10.660.500,10.660.500,497035331.0,497035331.0,10660500.0,10660500.0
