row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2016 > Giá trị,Ngày 31 tháng 12 năm 2016 > Dự phòng,Ngày 1 tháng 9 năm 2016 > Giá trị,Ngày 1 tháng 9 năm 2016 > Dự phòng,numeric__Ngày 31 tháng 12 năm 2016 > Giá trị,numeric__Ngày 31 tháng 12 năm 2016 > Dự phòng,numeric__Ngày 1 tháng 9 năm 2016 > Giá trị,numeric__Ngày 1 tháng 9 năm 2016 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu về lãi tiền gửi,Ngắn hạn > Phải thu về lãi tiền gửi,Phải thu về lãi tiền gửi,50.061.340.530,-,24.522.122.816,-,50061340530.0,,24522122816.0,
Phải thu các đội thi công và xuống chế biến khai thác,Ngắn hạn > Phải thu các đội thi công và xuống chế biến khai thác,Phải thu các đội thi công và xuống chế biến khai thác,22.376.322.039,(14.635.410.173),21.581.711.174,(13.233.134.993),22376322039.0,-14635410173.0,21581711174.0,-13233134993.0
Tạm ứng cho CBCNV,Ngắn hạn > Tạm ứng cho CBCNV,Tạm ứng cho CBCNV,11.246.271.855,-,14.464.808.774,-,11246271855.0,,14464808774.0,
"Ký quỹ, ký cược","Ngắn hạn > Ký quỹ, ký cược","Ký quỹ, ký cược",6.445.235.669,-,577.504.420,-,6445235669.0,,577504420.0,
Phải thu về cổ phần hóa các công ty liên kết,Ngắn hạn > Phải thu về cổ phần hóa các công ty liên kết,Phải thu về cổ phần hóa các công ty liên kết,4.391.381.054,(3.625.866.566),5.677.554.027,-,4391381054.0,-3625866566.0,5677554027.0,
Thu hồi vốn đầu tư của phần diện tích rừng bị tổn thất (*),Ngắn hạn > Thu hồi vốn đầu tư của phần diện tích rừng bị tổn thất (*),Thu hồi vốn đầu tư của phần diện tích rừng bị tổn thất (*),1.520.727.758,-,-,-,1520727758.0,,,
Phải thu các công ty lâm nghiệp về trồng rừng,Ngắn hạn > Phải thu các công ty lâm nghiệp về trồng rừng,Phải thu các công ty lâm nghiệp về trồng rừng,1.944.022.229,-,2.605.503.061,-,1944022229.0,,2605503061.0,
Các khoản chi phí trồng rừng chưa quyết toán,Ngắn hạn > Các khoản chi phí trồng rừng chưa quyết toán,Các khoản chi phí trồng rừng chưa quyết toán,650.635.390,-,3.126.500.453,-,650635390.0,,3126500453.0,
Phải thu lãi cho vay,Ngắn hạn > Phải thu lãi cho vay,Phải thu lãi cho vay,250.242.870,-,434.758.949,-,250242870.0,,434758949.0,
Phải thu về vườn uơm,Ngắn hạn > Phải thu về vườn uơm,Phải thu về vườn uơm,-,-,1.326.958.300,-,,,1326958300.0,
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,7.051.110.470,(151.015.633),12.965.883.239,(1.406.673.255),7051110470.0,-151015633.0,12965883239.0,-1406673255.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,105.937.289.864,(18.412.292.372),87.283.305.213,(14.639.808.248),105937289864.0,-18412292372.0,87283305213.0,-14639808248.0
Phải thu ngắn hạn khác từ các bên khác,Ngắn hạn > Phải thu ngắn hạn khác từ các bên khác,Phải thu ngắn hạn khác từ các bên khác,101.595.172.527,-,83.323.895.123,-,101595172527.0,,83323895123.0,
Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 28),Ngắn hạn > Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 28),Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 28),4.342.117.337,-,3.959.410.090,-,4342117337.0,,3959410090.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
"Ký quỹ, ký cược dài hạn","Dài hạn > Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",1.982.036.751,-,9.533.580.689,-,1982036751.0,,9533580689.0,
Đầu tư dự án liên doanh trồng rừng,Dài hạn > Đầu tư dự án liên doanh trồng rừng,Đầu tư dự án liên doanh trồng rừng,5.669.664.530,(129.634.210),5.574.894.877,(193.957.097),5669664530.0,-129634210.0,5574894877.0,-193957097.0
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,661.480.832,-,1.550.000,-,661480832.0,,1550000.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,8.313.182.113,(129.634.210),15.110.025.566,(193.957.097),8313182113.0,-129634210.0,15110025566.0,-193957097.0
