row_label_raw,row_label_full,Mã số,CHÍ TIÊU,Thuyết minh,Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016,numeric__CHÍ TIÊU,numeric__Thuyết minh,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,23.1,672.959.836.936,1.465.542.819.636,,231.0,672959836936.0,1465542819636.0
02,02,02,2. Các khoản giảm trừ doanh thu,23.1,(6.348.182),(143.773.594),,231.0,-6348182.0,-143773594.0
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,23.1,672.953.488.754,1.465.399.046.042,,231.0,672953488754.0,1465399046042.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,24,(588.602.426.705),(1.312.517.657.813),,24.0,-588602426705.0,-1312517657813.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,84.351.062.049,152.881.388.229,,,84351062049.0,152881388229.0
21,21,21,6. Doanh thu hoạt động tài chính,23.2,43.326.931.391,66.273.116.406,,232.0,43326931391.0,66273116406.0
22,22,22,7. Chi phí tài chính Trong đó: Chi phí lãi vay,25,(3.928.226.144) (2.921.504.158),(7.463.034.474) (5.381.084.907),,25.0,,
23,23,23,7. Chi phí tài chính Trong đó: Chi phí lãi vay,25,(3.928.226.144) (2.921.504.158),(7.463.034.474) (5.381.084.907),,25.0,,
24,24,24,"8. Phần lãi trong công ty liên doanh, liên kết",14.1,398.960.153.338,399.964.006.777,,141.0,398960153338.0,399964006777.0
25,25,25,9. Chi phí bán hàng,26,(20.249.070.944),(48.096.858.228),,26.0,-20249070944.0,-48096858228.0
26,26,26,10. Chi phí quản lý doanh nghiệp,26,(68.372.792.597),(153.199.420.240),,26.0,-68372792597.0,-153199420240.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,434.088.057.093,410.359.198.470,,,434088057093.0,410359198470.0
31,31,31,12. Thu nhập khác,27,5.550.277.142,9.267.696.020,,27.0,5550277142.0,9267696020.0
32,32,32,13. Chi phí khác,27,(2.945.929.137),(16.815.521.441),,27.0,-2945929137.0,-16815521441.0
40,40,40,14. Lợi nhuận/(lỗ) khác,,2.604.348.005,(7.547.825.421),,,2604348005.0,-7547825421.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,436.692.405.098,402.811.373.049,,,436692405098.0,402811373049.0
