row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2016,Đơn vị tính: VNDNgày 1 tháng 9năm 2016,numeric__Ngày 31 tháng 12năm 2016,numeric__Đơn vị tính: VNDNgày 1 tháng 9năm 2016
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí công cụ dụng cụ chờ phân bổ,Ngắn hạn > Chi phí công cụ dụng cụ chờ phân bổ,Chi phí công cụ dụng cụ chờ phân bổ,3.126.396.879,5.417.202.827,3126396879.0,5417202827.0
Chi phí thuê đất,Ngắn hạn > Chi phí thuê đất,Chi phí thuê đất,-,1.818.651.964,,1818651964.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,796.397.772,2.052.690.562,796397772.0,2052690562.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,3.922.794.651,9.288.545.353,3922794651.0,9288545353.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
Giá trị tiềm năng phát triển và giá trị thương hiệu (*),Dải hạn > Giá trị tiềm năng phát triển và giá trị thương hiệu (*),Giá trị tiềm năng phát triển và giá trị thương hiệu (*),25.803.580.915,27.937.620.025,25803580915.0,27937620025.0
Tiền thuê đất trả trước,Dải hạn > Tiền thuê đất trả trước,Tiền thuê đất trả trước,9.069.724.827,9.516.322.578,9069724827.0,9516322578.0
Công cụ dụng cụ chờ phân bổ,Dải hạn > Công cụ dụng cụ chờ phân bổ,Công cụ dụng cụ chờ phân bổ,7.572.252.814,3.253.756.613,7572252814.0,3253756613.0
Chi phí sửa chữa TSCĐ,Dải hạn > Chi phí sửa chữa TSCĐ,Chi phí sửa chữa TSCĐ,603.048.029,1.387.794.441,603048029.0,1387794441.0
Chi phí trả trước dài hạn khác,Dải hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,1.088.395.773,512.641.826,1088395773.0,512641826.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,44.137.002.358,42.608.135.483,44137002358.0,42608135483.0
