row_label_raw,row_label_full,Giá trị đầu tư:,Công ty TNHHNguyên liệuGiấy Quy Nhơn > Giá trị đầu tư:,Công ty TNHHSản xuấtNguyên liệuGiấy Việt NhậtCái Lân > Giá trị đầu tư:,Công ty TNHHSản xuấtNguyên liệuGiấy Việt NhậtVũng Áng > Giá trị đầu tư:,Công ty TNHHViết Thành Thái > Giá trị đầu tư:,Công tyTNHH Vándán OJI –Vinafor BắcGiang > Giá trị đầu tư:,Công ty TNHHYamaha MOTORViệt Nam > Giá trị đầu tư:,Công ty TNHHViệt Nhật Chếbiến gỗ và Đảmgỗ Dung Quát > Giá trị đầu tư:,Công ty Cốphấn Nguyênfều Giấy vàgỗ Tân Thành > Giá trị đầu tư:,Tổng cộng > Giá trị đầu tư:,numeric__Công ty TNHHNguyên liệuGiấy Quy Nhơn > Giá trị đầu tư:,numeric__Công ty TNHHSản xuấtNguyên liệuGiấy Việt NhậtCái Lân > Giá trị đầu tư:,numeric__Công ty TNHHSản xuấtNguyên liệuGiấy Việt NhậtVũng Áng > Giá trị đầu tư:,numeric__Công ty TNHHViết Thành Thái > Giá trị đầu tư:,numeric__Công tyTNHH Vándán OJI –Vinafor BắcGiang > Giá trị đầu tư:,numeric__Công ty TNHHYamaha MOTORViệt Nam > Giá trị đầu tư:,numeric__Công ty TNHHViệt Nhật Chếbiến gỗ và Đảmgỗ Dung Quát > Giá trị đầu tư:,numeric__Công ty Cốphấn Nguyênfều Giấy vàgỗ Tân Thành > Giá trị đầu tư:,numeric__Tổng cộng > Giá trị đầu tư:
Số đầu kỳ,Số đầu kỳ,Số đầu kỳ,5.953.191.410,26.139.084.964,12.401.394.337,45.092.785.462,237.505.758,1.322.524.156.400,4.625.605.602,3.010.000.000,1.517.884.978.263,5953191410.0,26139084964.0,12401394337.0,45092785462.0,237505758.0,1322524156400.0,4625605602.0,3010000000.0,1517884978263.0
Số cuối kỳ,Số cuối kỳ,Số cuối kỳ,5.953.191.410,26.139.084.964,12.401.394.337,45.092.785.462,237.505.758,1.322.524.156.400,4.625.605.602,3.010.000.000,1.517.884.978.263,5953191410.0,26139084964.0,12401394337.0,45092785462.0,237505758.0,1322524156400.0,4625605602.0,3010000000.0,1517884978263.0
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,,,,,,,
Số đầu kỳ,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu kỳ,Số đầu kỳ,-,-,-,-,-,-,-,476.636.212,476.636.212,,,,,,,,476636212.0,476636212.0
Biến động trongkỳ,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Biến động trongkỳ,Biến động trongkỳ,344.646.455,5.593.618.438,1.072.887.331,224.068.048,(237.605.758),191.371.536.600,971.291.924,138.484.501,196.713.997.677,344646455.0,5593618438.0,1072887331.0,224068048.0,-237605758.0,191371536600.0,971291924.0,138484501.0,196713997677.0
Số cuối kỳ,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối kỳ,Số cuối kỳ,344.646.455,5.593.618.438,1.072.887.331,224.068.048,(237.605.758),191.371.536.600,971.291.924,615.120.713,197.190.633.889,344646455.0,5593618438.0,1072887331.0,224068048.0,-237605758.0,191371536600.0,971291924.0,615120713.0,197190633889.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,,,
Số đầu kỳ,Giá trị còn lại > Số đầu kỳ,Số đầu kỳ,5.953.191.410,26.139.084.964,12.401.394.337,45.092.785.462,237.605.758,1.322.924.156.400,4.625.605.602,3.486.636.212,1.518.361.614.475,5953191410.0,26139084964.0,12401394337.0,45092785462.0,237605758.0,1322924156400.0,4625605602.0,3486636212.0,1518361614475.0
Số cuối kỳ,Giá trị còn lại > Số cuối kỳ,Số cuối kỳ,6.297.837.865,31.732.703.402,13.474.281.668,45.316.873.510,-,1.514.295.693.000,5.596.897.526,3.625.120.713,1.715.075.612.152,6297837865.0,31732703402.0,13474281668.0,45316873510.0,,1514295693000.0,5596897526.0,3625120713.0,1715075612152.0
