row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2016,Đơn vị tính: VNDNgày 1 tháng 9năm 2016,numeric__Ngày 31 tháng 12năm 2016,numeric__Đơn vị tính: VNDNgày 1 tháng 9năm 2016
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Phải trả về cổ phần hóa,Ngắn hạn > Phải trả về cổ phần hóa,Phải trả về cổ phần hóa,528.106.579.783,2.148.946.190.841,528106579783.0,2148946190841.0
"Kinh phí đo đạc, cắm mốc, cấp giấy chứng nhận quyền sử dụng đất","Ngắn hạn > Kinh phí đo đạc, cắm mốc, cấp giấy chứng nhận quyền sử dụng đất","Kinh phí đo đạc, cắm mốc, cấp giấy chứng nhận quyền sử dụng đất",50.000.000.000,50.000.000.000,50000000000.0,50000000000.0
Phải trả các thầu phụ chưa được đối chiếu,Ngắn hạn > Phải trả các thầu phụ chưa được đối chiếu,Phải trả các thầu phụ chưa được đối chiếu,16.673.744.197,17.113.478.559,16673744197.0,17113478559.0
"Nhận ký quỹ, ký cược","Ngắn hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",2.073.306.529,1.750.843.529,2073306529.0,1750843529.0
Kinh phí công đoàn,Ngắn hạn > Kinh phí công đoàn,Kinh phí công đoàn,1.218.598.687,1.036.508.018,1218598687.0,1036508018.0
Phải trả Công ty Cổ phần Nguyên liệu giấy gỗ Tân Thành,Ngắn hạn > Phải trả Công ty Cổ phần Nguyên liệu giấy gỗ Tân Thành,Phải trả Công ty Cổ phần Nguyên liệu giấy gỗ Tân Thành,1.655.500.000,1.505.000.000,1655500000.0,1505000000.0
"Bảo hiểm xã hội, y tế, thất nghiệp","Ngắn hạn > Bảo hiểm xã hội, y tế, thất nghiệp","Bảo hiểm xã hội, y tế, thất nghiệp",977.995.485,1.301.638.873,977995485.0,1301638873.0
"Cổ tức, lợi nhuận phải trả","Ngắn hạn > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",233.108.560,240.217.709,233108560.0,240217709.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",23.319.352.541,24.303.721.395,23319352541.0,24303721395.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,624.258.185.782,2.246.197.598.924,624258185782.0,2246197598924.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn các bên khác,Trong đó: > Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,624.257.171.878,2.245.894.182.918,624257171878.0,2245894182918.0
Phải trả ngắn hạn khác cho bên liên quan (Thuyết minh số 28),Trong đó: > Phải trả ngắn hạn khác cho bên liên quan (Thuyết minh số 28),Phải trả ngắn hạn khác cho bên liên quan (Thuyết minh số 28),1.013.904,303.416.006,1013904.0,303416006.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược","Dài hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",8.704.336.476,8.668.669.711,8704336476.0,8668669711.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,8.704.336.476,8.668.669.711,8704336476.0,8668669711.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn các bên khác,Trong đó: > Phải trả dài hạn các bên khác,Phải trả dài hạn các bên khác,7.488.800.796,7.453.134.031,7488800796.0,7453134031.0
Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 28),Trong đó: > Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 28),Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 28),1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
