row_label_raw,row_label_full,Lắp đặt hệ thống thang máy ngoài trời tòa nhà Vinafor,Ngày 31 tháng 12năm 2016 > -,Đơn vị tính: VNDNgày 1 tháng 9năm 2016 > 10.607.356.704,numeric__Ngày 31 tháng 12năm 2016 > -,numeric__Đơn vị tính: VNDNgày 1 tháng 9năm 2016 > 10.607.356.704
Công trình cải tạo sửa chữa Khách sạn Đồ Sơn,Công trình cải tạo sửa chữa Khách sạn Đồ Sơn,Công trình cải tạo sửa chữa Khách sạn Đồ Sơn,8.309.376.725,8.309.376.725,8309376725.0,8309376725.0
Máy tách mũ gỗ nguyên vật liệu,Máy tách mũ gỗ nguyên vật liệu,Máy tách mũ gỗ nguyên vật liệu,7.691.744.755,7.691.744.755,7691744755.0,7691744755.0
"Tòa nhà văn phòng tại số 60 Hùng Vương, thành phố Đà Lạt","Tòa nhà văn phòng tại số 60 Hùng Vương, thành phố Đà Lạt","Tòa nhà văn phòng tại số 60 Hùng Vương, thành phố Đà Lạt",7.600.000.000,7.600.000.000,7600000000.0,7600000000.0
Dự án đầu tư sửa chữa máy nghiền,Dự án đầu tư sửa chữa máy nghiền,Dự án đầu tư sửa chữa máy nghiền,6.345.894.922,-,6345894922.0,
Khu du lịch sinh thái,Khu du lịch sinh thái,Khu du lịch sinh thái,6.865.839.341,6.865.839.341,6865839341.0,6865839341.0
Xây dựng cơ bản dở dang khác,Xây dựng cơ bản dở dang khác,Xây dựng cơ bản dở dang khác,4.086.655.280,4.654.253.745,4086655280.0,4654253745.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,40.899.511.023,45.728.571.270,40899511023.0,45728571270.0
