row_label_raw,row_label_full,col_0,Công ty Cổ phần 19/5 Đoàn Hùng,Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,Công ty Cổ phần Cơ Đỏ,Công ty Cổ phần Formach (*),Công ty Cổ phần Gỗ langBuôn Ma Thượt,Công ty Cổ phần Kon Hà Nùng,Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,Công ty Cổ phần Lâm nghiệp 19,Công ty Cổ phần Lâm nghiệp Miến Đông,numeric__Công ty Cổ phần 19/5 Đoàn Hùng,numeric__Công ty Cổ phần Cơ khí Lâm nghiệp Sài Gòn,numeric__Công ty Cổ phần Cơ Đỏ,numeric__Công ty Cổ phần Formach (*),numeric__Công ty Cổ phần Gỗ langBuôn Ma Thượt,numeric__Công ty Cổ phần Kon Hà Nùng,numeric__Công ty Cổ phần Lâm đặc sản Mây tre xuất khẩu,numeric__Công ty Cổ phần Lâm nghiệp 19,numeric__Công ty Cổ phần Lâm nghiệp Miến Đông
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,,,,,
Số đầu kỳ,Giá trị đầu tư: > Số đầu kỳ,Số đầu kỳ,2.292.110.576,3.478.607.058,11.661.413.998,4.155.164.541,2.598.842.250,\( ^{1}.945.9^{7}.957 \),1.197.837.276,9.340.054.080,4.891.656.170,2292110576.0,3478607058.0,11661413998.0,4155164541.0,2598842250.0,,1197837276.0,9340054080.0,4891656170.0
Số cuối kỳ,Giá trị đầu tư: > Số cuối kỳ,Số cuối kỳ,2.292.110.576,3.478.607.058,11.661.413.998,4.155.164.541,2.598.842.250,\( ^{1}.945.9^{7}.957 \),1.197.837.276,9.340.054.080,4.891.656.170,2292110576.0,3478607058.0,11661413998.0,4155164541.0,2598842250.0,,1197837276.0,9340054080.0,4891656170.0
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,,,,,,,
Số đầu kỳ,Số đầu kỳ,Số đầu kỳ,-,-,-,-,-,-,-,-,-,,,,,,,,,
Biến động trong kỳ,Số đầu kỳ > Biến động trong kỳ,Biến động trong kỳ,256.309.526,205.373.788,1.064.215.558,-,\( ^{16}.117.757 \),958.008.\( ^{60} \),(873.636),494.710.495,56.952.642,256309526.0,205373788.0,1064215558.0,,,,-873636.0,494710495.0,56952642.0
Số cuối kỳ,Số đầu kỳ > Số cuối kỳ,Số cuối kỳ,256.309.526,205.373.788,1.064.215.558,-,116.117.757,958.008.\( ^{60} \),(873.636),494.710.495,56.952.642,256309526.0,205373788.0,1064215558.0,,116117757.0,,-873636.0,494710495.0,56952642.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,,,
Số đầu kỳ,Giá trị còn lại: > Số đầu kỳ,Số đầu kỳ,2.292.110.576,3.478.607.058,11.661.413.998,4.155.164.541,2.698.842.250,1.945.917.957,1.197.837.276,9.340.054.080,4.891.656.170,2292110576.0,3478607058.0,11661413998.0,4155164541.0,2698842250.0,1945917957.0,1197837276.0,9340054080.0,4891656170.0
Số cuối kỳ,Giá trị còn lại: > Số cuối kỳ,Số cuối kỳ,2.548.420.102,3.683.980.846,12.725.629.556,4.155.164.541,2.814.960.007,2.903.926.117,1.196.963.640,9.834.764.575,4.948.608.812,2548420102.0,3683980846.0,12725629556.0,4155164541.0,2814960007.0,2903926117.0,1196963640.0,9834764575.0,4948608812.0
