row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016,numeric__Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Đơn vị tính: VND > Cho giai đoạn tài chính từ ngày 1 tháng 1 năm 2016 đến ngày 31 tháng 8 năm 2016
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
Thu nhập từ tiền đến bù,Thu nhập khác > Thu nhập từ tiền đến bù,Thu nhập từ tiền đến bù,1.670.771.500,1.815.337.995,1670771500.0,1815337995.0
Phí dịch vụ bảo vệ môi trường rừng,Thu nhập khác > Phí dịch vụ bảo vệ môi trường rừng,Phí dịch vụ bảo vệ môi trường rừng,1.088.214.201,-,1088214201.0,
"Lãi từ thanh lý, nhượng bán tài sản cố định","Thu nhập khác > Lãi từ thanh lý, nhượng bán tài sản cố định","Lãi từ thanh lý, nhượng bán tài sản cố định",-,1.310.383.382,,1310383382.0
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,2.791.291.441,6.141.974.643,2791291441.0,6141974643.0
,,,5.550.277.142,9.267.696.020,5550277142.0,9267696020.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Xử lý giá trị đầu tư rừng trồng tồn thất,Chi phí khác > Xử lý giá trị đầu tư rừng trồng tồn thất,Xử lý giá trị đầu tư rừng trồng tồn thất,743.708.976,7.630.818.724,743708976.0,7630818724.0
Xử lý công nợ tồn động,Chi phí khác > Xử lý công nợ tồn động,Xử lý công nợ tồn động,-,3.908.955.698,,3908955698.0
Các khoản tiền phạt,Chi phí khác > Các khoản tiền phạt,Các khoản tiền phạt,-,2.370.602.403,,2370602403.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,2.202.220.161,2.905.144.616,2202220161.0,2905144616.0
,,,2.945.929.137,16.815.521.441,2945929137.0,16815521441.0
LỢI NHUÂN/ (LỔ) KHÁC THUÀN,Chi phí khác > LỢI NHUÂN/ (LỔ) KHÁC THUÀN,LỢI NHUÂN/ (LỔ) KHÁC THUÀN,2.604.348.005,(7.547.825.421),2604348005.0,-7547825421.0
