row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2016,Ngày 31 tháng 12 năm 2016_1,Ngày 1 tháng 9 năm 2016,Ngày 1 tháng 9 năm 2016_1,numeric__Ngày 31 tháng 12 năm 2016,numeric__Ngày 31 tháng 12 năm 2016_1,numeric__Ngày 1 tháng 9 năm 2016,numeric__Ngày 1 tháng 9 năm 2016_1
,,,Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết (%),Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết (%),,,,
Tên đơn vị,Tên đơn vị,Tên đơn vị,,,,,,,,
Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,Tên đơn vị > Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,Công ty Liên doanh Nuôi và Phát triển Khĩ Việt Nam,"40,00%","40,00%","40,00%","40,00%",0.4,0.4,0.4,0.4
Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,Tên đơn vị > Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,Công ty TNHH Sản xuất Nguyên liệu Giấy Việt Nhật,"39,97%","39,97%","39,97%","39,97%",0.3997,0.3997,0.3997,0.3997
Công ty TNHH Nguyên liệu giấy Quy Nhơn,Tên đơn vị > Công ty TNHH Nguyên liệu giấy Quy Nhơn,Công ty TNHH Nguyên liệu giấy Quy Nhơn,"22,00%","22,00%","22,00%","22,00%",0.22,0.22,0.22,0.22
Công ty TNHH SX Nguyên liệu giấy Việt Nhật Cái Lân,Tên đơn vị > Công ty TNHH SX Nguyên liệu giấy Việt Nhật Cái Lân,Công ty TNHH SX Nguyên liệu giấy Việt Nhật Cái Lân,"49,00%","49,00%","49,00%","49,00%",0.49,0.49,0.49,0.49
Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,Tên đơn vị > Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,Công ty TNHH SX Nguyên liệu giấy Việt Nhật Vũng Áng,"40,00%","40,00%","40,00%","40,00%",0.4,0.4,0.4,0.4
Công ty TNHH Việt Thành Thái,Tên đơn vị > Công ty TNHH Việt Thành Thái,Công ty TNHH Việt Thành Thái,"35,00%","35,00%","35,00%","35,00%",0.35,0.35,0.35,0.35
Công ty TNHH Văn dán OJI - Vinafor Bắc Giang,Tên đơn vị > Công ty TNHH Văn dán OJI - Vinafor Bắc Giang,Công ty TNHH Văn dán OJI - Vinafor Bắc Giang,"40,00%","40,00%","40,00%","40,00%",0.4,0.4,0.4,0.4
Công ty TNHH Yamaha Motor Việt Nam,Tên đơn vị > Công ty TNHH Yamaha Motor Việt Nam,Công ty TNHH Yamaha Motor Việt Nam,"30,00%","30,00%","30,00%","30,00%",0.3,0.3,0.3,0.3
Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,Tên đơn vị > Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,Công ty TNHH Việt Nhật chế biến gỗ và đảm gỗ Dung Quát,"49,00%","49,00%","49,00%","49,00%",0.49,0.49,0.49,0.49
