row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Hoạt động knai tháctrồng rừng > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Kinh doanh gỗ > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Bán thành phẩm gỗ > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Khác > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,Đơn vị tính: VNDTổng cộng > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Hoạt động knai tháctrồng rừng > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Kinh doanh gỗ > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Bán thành phẩm gỗ > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Khác > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016,numeric__Đơn vị tính: VNDTổng cộng > Tại ngày 31 tháng 12 năm 2016 và cho giai đoạn tài chính từ ngày 1 tháng 9 năm 2016 đến ngày 31 tháng 12 năm 2016
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ bán hàng ra bên ngoài,Doanh thu > Doanh thu từ bán hàng ra bên ngoài,Doanh thu từ bán hàng ra bên ngoài,122.475.862.326,254.114.757.340,253.588.801.366,42.780.415.904,672.959.836.936,122475862326.0,254114757340.0,253588801366.0,42780415904.0,672959836936.0
Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,Doanh thu từ bán hàng cho các bộ phận,-,-,-,-,-,,,,,
Tổng doanh thu,Doanh thu từ bán hàng cho các bộ phận > Tổng doanh thu,Tổng doanh thu,122.475.862.326,254.114.757.340,253.588.801.366,42.780.415.904,672.959.836.936,122475862326.0,254114757340.0,253588801366.0,42780415904.0,672959836936.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận gộp của bộ phận,Kết quả > Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,23.216.804.380,3.060.858.423,40.926.710.295,17.146.688.951,84.351.062.C49,23216804380.0,3060858423.0,40926710295.0,17146688951.0,
Giá vốn hàng bán không phân bổ,Giá vốn hàng bán không phân bổ,Giá vốn hàng bán không phân bổ,,,,,-,,,,,
Lợi nhuận gộp về bán hàng,Giá vốn hàng bán không phân bổ > Lợi nhuận gộp về bán hàng,Lợi nhuận gộp về bán hàng,23.216.804.380,3.060.858.423,40.926.710.295,17.146.688.951,84.351.062.C49,23216804380.0,3060858423.0,40926710295.0,17146688951.0,
"Thu nhập, chi phí không phân bổ","Thu nhập, chi phí không phân bổ","Thu nhập, chi phí không phân bổ",,,,,352.341.343.C49,,,,,
Lợi nhuận thuần trước thuế,"Thu nhập, chi phí không phân bổ > Lợi nhuận thuần trước thuế",Lợi nhuận thuần trước thuế,,,,,436.692.405.098,,,,,436692405098.0
Chi phí thuế TNDN,"Thu nhập, chi phí không phân bổ > Chi phí thuế TNDN",Chi phí thuế TNDN,,,,,(3.253.417.404),,,,,-3253417404.0
Thu nhập thuế TNDN hoãn lại,"Thu nhập, chi phí không phân bổ > Thu nhập thuế TNDN hoãn lại",Thu nhập thuế TNDN hoãn lại,,,,,(2.335.957.373),,,,,-2335957373.0
Lợi nhuận thuần sau thuế,"Thu nhập, chi phí không phân bổ > Lợi nhuận thuần sau thuế",Lợi nhuận thuần sau thuế,,,,,431.103.030.321,,,,,431103030321.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,334.449.521.246,120.405.886.622,287.181.534.040,27.223.860.824,769.260.802.732,334449521246.0,120405886622.0,287181534040.0,27223860824.0,769260802732.0
Tài sản không phân bổ,Các thông tin bộ phận khác > Tài sản không phân bổ,Tài sản không phân bổ,,,,,4.407.076.253.490,,,,,4407076253490.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,5.176.337.056.222,,,,,5176337056222.0
Nợ phải trả bộ phận,Các thông tin bộ phận khác > Nợ phải trả bộ phận,Nợ phải trả bộ phận,26.760.043.481,33.922.938.870,54.172.904.988,25.521.318.961,140.377.206.300,26760043481.0,33922938870.0,54172904988.0,25521318961.0,140377206300.0
Nợ phải trả không phân bổ,Các thông tin bộ phận khác > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,1.053.091.231.056,,,,,1053091231056.0
Tổng nợ phải trả,Các thông tin bộ phận khác > Tổng nợ phải trả,Tổng nợ phải trả,,,,,1.193.468.437.356,,,,,1193468437356.0
Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,,,,,
Tài sản cố định hữu hình,Chi phí hình thành tài sản cố định > Tài sản cố định hữu hình,Tài sản cố định hữu hình,,,,,22.767.861.887,,,,,22767861887.0
Khẩu hao,Chi phí hình thành tài sản cố định > Khẩu hao,Khẩu hao,,,,,22.526.032.639,,,,,22526032639.0
