row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy rốc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản cố địnhkhác,Đơn vị tính: VNCTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy rốc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản cố địnhkhác,numeric__Đơn vị tính: VNCTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu kỳ,Nguyên giá: > Số đầu kỳ,Số đầu kỳ,382.833.093.234,372.395.422.001,50.241.918.130,62.156.712.123,7.568.960.614,875.196.106.102,382833093234.0,372395422001.0,50241918130.0,62156712123.0,7568960614.0,875196106102.0
- Mua trong kỳ,Nguyên giá: > - Mua trong kỳ,- Mua trong kỳ,69.000.000,6.549.828.560,1.008.976.364,35.172.727,-,7.662.977.85*,69000000.0,6549828560.0,1008976364.0,35172727.0,,
- Đầu tư XDCB hoàn thành,Nguyên giá: > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,535.871.054,13.566.696.364,-,1.002.316.818,-,15.104.884.236,535871054.0,13566696364.0,,1002316818.0,,15104884236.0
- Phân loại lại,Nguyên giá: > - Phân loại lại,- Phân loại lại,529.492.932,(529.492.932),-,-,-,-,529492932.0,-529492932.0,,,,
- Chuyển sang bất động sảnđầu tư (Thuyết minh số 12),Nguyên giá: > - Chuyển sang bất động sảnđầu tư (Thuyết minh số 12),- Chuyển sang bất động sảnđầu tư (Thuyết minh số 12),(3.245.723.753),(11.124.691.018),-,-,-,(14.370.414.771;,-3245723753.0,-11124691018.0,,,,
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(29.258.719.480),-,(285.714.286),(1.191.594.062),-,(30.736.027.828),-29258719480.0,,-285714286.0,-1191594062.0,,-30736027828.0
Số cuối kỳ,Nguyên giá: > Số cuối kỳ,Số cuối kỳ,351.463.013.987,380.857.762.975,50.965.180.208,62.202.607.606,7.568.960.614,852.857.525.390,351463013987.0,380857762975.0,50965180208.0,62202607606.0,7568960614.0,852857525390.0
Trong đó:Đã khấu hao hết,Nguyên giá: > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,40.202.103.725,29.017.501.851,4.157.897.740,338.429.292,409.303.040,74.125.235.648,40202103725.0,29017501851.0,4157897740.0,338429292.0,409303040.0,74125235648.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,,,
Số đầu kỳ,Giá trị hao mòn lũy kế: > Số đầu kỳ,Số đầu kỳ,222.195.823.286,312.693.767.682,29.995.392.881,32.944.653.670,5.377.099.833,603.206.737.352,222195823286.0,312693767682.0,29995392881.0,32944653670.0,5377099833.0,603206737352.0
- Khấu hao trong kỳ,Giá trị hao mòn lũy kế: > - Khấu hao trong kỳ,- Khấu hao trong kỳ,5.540.516.089,12.445.757.432,1.571.835.346,2.368.479.196,99.444.576,22.526.032.639,5540516089.0,12445757432.0,1571835346.0,2368479196.0,99444576.0,22526032639.0
- Phân loại lại,Giá trị hao mòn lũy kế: > - Phân loại lại,- Phân loại lại,413.004.483,(409.764.336),-,(3 240.147),-,-,413004483.0,-409764336.0,,,,
- Chuyển sang bất động sảnđầu tư (Thuyết minh số 12),Giá trị hao mòn lũy kế: > - Chuyển sang bất động sảnđầu tư (Thuyết minh số 12),- Chuyển sang bất động sảnđầu tư (Thuyết minh số 12),(2.325.247.080),(1.638.127.356),-,-,-,(3.963.374.436),-2325247080.0,-1638127356.0,,,,-3963374436.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(16.839.594.376),-,(233.537.952),(177.306.295),-,(17.250.438.623),-16839594376.0,,-233537952.0,-177306295.0,,-17250438623.0
Số cuối kỳ,Giá trị hao mòn lũy kế: > Số cuối kỳ,Số cuối kỳ,208.984.502.402,323.091.633.422,31.333.690.275,35.532.586.424,5.476.544.409,604.518.956.932,208984502402.0,323091633422.0,31333690275.0,35532586424.0,5476544409.0,604518956932.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu kỳ,Giá trị còn lại: > Số đầu kỳ,Số đầu kỳ,160.637.269.948,59.701.654.319,20.246.525.249,29.212.058.453,2.^91.860.781,271.989.368.750,160637269948.0,59701654319.0,20246525249.0,29212058453.0,,271989368750.0
Số cuối kỳ,Giá trị còn lại: > Số cuối kỳ,Số cuối kỳ,142.478.511.585,57.766.129.553,19.631.489.933,26.370.021.182,2.092.416.205,248.338.566.458,142478511585.0,57766129553.0,19631489933.0,26370021182.0,2092416205.0,248338566458.0
Trong đóCẩm cố/ thế chấp,Giá trị còn lại: > Trong đóCẩm cố/ thế chấp,Trong đóCẩm cố/ thế chấp,30.742.620.665,268.108.276.742,-,-,-,298.850.897.407,30742620665.0,268108276742.0,,,,298850897407.0
