row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,MS,TM,31/12/2018VND,01/01/2018VND,numeric__TÀI SẢN_1,numeric__MS,numeric__TM,numeric__31/12/2018VND,numeric__01/01/2018VND
A.,A.,A.,TÀI SẢN NGĂN HẠN,100,,2.002.933.945.678,1.493.163.177.065,,100.0,,2002933945678.0,1493163177065.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,5.1,76.644.572.623,220.899.970.294,,110.0,51.0,76644572623.0,220899970294.0
1.,1.,1.,Tiền,111,,6.459.367.143,56.593.720.294,,111.0,,6459367143.0,56593720294.0
2.,2.,2.,Các khoản tương đương tiền,112,,70.185.205.480,164.306.250.000,,112.0,,70185205480.0,164306250000.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,5.4,60.314.980.583,246.331.476.176,,120.0,54.0,60314980583.0,246331476176.0
1.,1.,1.,Đầu tư nắm giữ đến ngày đáo hạn,123,,60.314.980.583,246.331.476.176,,123.0,,60314980583.0,246331476176.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,1.864.662.198.217,995.160.061.336,,130.0,,1864662198217.0,995160061336.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,5.2,1.375.540.252.890,534.061.663.505,,131.0,52.0,1375540252890.0,534061663505.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,5.3,76.863.817.640,72.080.748.909,,132.0,53.0,76863817640.0,72080748909.0
3.,3.,3.,Phải thu về cho vay ngắn hạn,135,,204.774.270.000,122.012.232.203,,135.0,,204774270000.0,122012232203.0
4.,4.,4.,Phải thu ngắn hạn khác,136,5.5,229.099.157.344,267.230.166.719,,136.0,55.0,229099157344.0,267230166719.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,,(21.615.299.657),(224.750.000),,137.0,,-21615299657.0,-224750000.0
IV.,IV.,IV.,Hàng tồn kho,140,5.7,884.877.920,20.202.891.034,,140.0,57.0,884877920.0,20202891034.0
1.,1.,1.,Hàng tồn kho,141,,884.877.920,20.202.891.034,,141.0,,884877920.0,20202891034.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,427.316.335,10.568.778.225,,150.0,,427316335.0,10568778225.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,5.11,229.991.623,347.895.952,,151.0,511.0,229991623.0,347895952.0
2.,2.,2.,Thuế GTGT được khấu trừ,152,,100.390.912,10.123.918.473,,152.0,,100390912.0,10123918473.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,5.17,96.933.800,96.963.800,,153.0,517.0,96933800.0,96963800.0
B,B,B,TÀI SẢN DÀI HẠN,200,,3.842.042.035.026,4.670.833.458.344,,200.0,,3842042035026.0,4670833458344.0
I.,I.,I.,Các khoản phải thu dài hạn,210,,385.924.813.112,571.666.118.859,,210.0,,385924813112.0,571666118859.0
1.,1.,1.,Phải thu dài hạn khác,216,5.5,385.924.813.112,571.666.118.859,,216.0,55.0,385924813112.0,571666118859.0
II.,II.,II.,Tài sản cố định,220,,17.363.951.163,17.979.003.952,,220.0,,17363951163.0,17979003952.0
1.,1.,1.,Tài sản cố định hữu hình,221,5.9,16.091.076.862,16.624.704.657,,221.0,59.0,16091076862.0,16624704657.0
,,,- Nguyên giá,222,,41.197.396.335,39.544.414.153,,222.0,,41197396335.0,39544414153.0
,,,- Giá trị hao mòn lũy kế,223,,(25.106.319.473),(22.919.709.496),,223.0,,-25106319473.0,-22919709496.0
2.,2.,2.,Tài sản cố định vô hình,227,5.8,1.272.874.301,1.354.299.295,,227.0,58.0,1272874301.0,1354299295.0
,,,- Nguyên giá,228,,3.028.204.888,2.327.027.888,,228.0,,3028204888.0,2327027888.0
,,,- Giá trị hao mòn lũy kế,229,,(1.755.330.587),(972.728.593),,229.0,,-1755330587.0,-972728593.0
III.,III.,III.,Bất động sản đầu tư,230,,-,-,,230.0,,,
IV.,IV.,IV.,Tài sản dở dang dài hạn,240,5.10,1.094.891.017.854,2.023.299.065.243,,240.0,510.0,1094891017854.0,2023299065243.0
1.,1.,1.,Chi phí xây dựng cơ bản dở dang,242,,1.094.891.017.854,2.023.299.065.243,,242.0,,1094891017854.0,2023299065243.0
V.,V.,V.,Đầu tư tài chính dài hạn,250,5.4,2.341.869.706.645,2.055.302.551.045,,250.0,54.0,2341869706645.0,2055302551045.0
1.,1.,1.,Đầu tư vào công ty con,251,,1.861.194.335.343,1.744.587.335.343,,251.0,,1861194335343.0,1744587335343.0
2.,2.,2.,"Đầu tư vào công ty liên doanh, liên kết",252,,454.419.205.000,302.459.049.400,,252.0,,454419205000.0,302459049400.0
3.,3.,3.,Đầu tư góp vốn vào đơn vị khác,253,,24.130.000.000,6.130.000.000,,253.0,,24130000000.0,6130000000.0
4.,4.,4.,Dự phòng đầu tư tài chính dài hạn,254,,(2.873.833.698),(2.873.833.698),,254.0,,-2873833698.0,-2873833698.0
5.,5.,5.,Đầu tư nắm giữ đến ngày đáo hạn,255,,5.000.000.000,5.000.000.000,,255.0,,5000000000.0,5000000000.0
VI.,VI.,VI.,Tài sản dài hạn khác,260,,1.992.546.252,2.586.719.245,,260.0,,1992546252.0,2586719245.0
1.,1.,1.,Chi phí trả trước dài hạn,261,5.11,1.992.546.252,2.586.719.245,,261.0,511.0,1992546252.0,2586719245.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,5.844.975.980.704,6.163.996.635.409,,270.0,,5844975980704.0,6163996635409.0
