row_label_raw,row_label_full,Khoản mục > Tại ngày 01/01/2017 > Tăng trong năm > Tăng vốn trong năm trước > Lãi trong năm trước,Vốn góp của chủ sở hữu > 1.763.294.160.000 > 747.294.970.000 > -,Thặng dư vốn cổ phần > 69.840.926.959 > 25.000.000.000 > -,Quỹ đầu tư phát triển > 78.456.473.161 > 20.059.000.000 > -,Lợi nhuận sau thuế chưa phân phối > 460.352.175.382 > 340.863.280.566 > - > 340.830.895.542,Tổng > 2.371.943.735.502 > 1.133.217.250.566 > 747.294.970.000 > 340.830.895.542,numeric__Vốn góp của chủ sở hữu > 1.763.294.160.000 > 747.294.970.000 > -,numeric__Thặng dư vốn cổ phần > 69.840.926.959 > 25.000.000.000 > -,numeric__Quỹ đầu tư phát triển > 78.456.473.161 > 20.059.000.000 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 460.352.175.382 > 340.863.280.566 > - > 340.830.895.542,numeric__Tổng > 2.371.943.735.502 > 1.133.217.250.566 > 747.294.970.000 > 340.830.895.542
Tăng khác,Tăng khác,Tăng khác,-,25.000.000.000,20.059.000.000,32.385.024,45.091.385.024,,25000000000.0,20059000000.0,32385024.0,45091385024.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,(9.666.453.284),-,(292.544.561.200),(302.211.014.484),,-9666453284.0,,-292544561200.0,-302211014484.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,(28.059.000.000),(28.059.000.000),,,,-28059000000.0,-28059000000.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,(264.485.561.200),(264.485.561.200),,,,-264485561200.0,-264485561200.0
Giảm khác,Giảm khác,Giảm khác,-,(9.666.453.284),-,-,(9.666.453.284),,-9666453284.0,,,-9666453284.0
Tại ngày 31/12/2017,Tại ngày 31/12/2017,Tại ngày 31/12/2017,2.510.589.130.000,85.174.473.675,98.515.473.161,508.670.894.748,3.202.949.971.584,2510589130000.0,85174473675.0,98515473161.0,508670894748.0,3202949971584.0
Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,2.510.589.130.000,85.174.473.675,98.515.473.161,508.670.894.748,3.202.949.971.584,2510589130000.0,85174473675.0,98515473161.0,508670894748.0,3202949971584.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,175.730.520.000,-,14.876.800.000,163.270.544.873,353.877.864.873,175730520000.0,,14876800000.0,163270544873.0,353877864873.0
Tăng vốn từ chia cổ tức bằng cổ phiếu trong năm nay,Tăng vốn từ chia cổ tức bằng cổ phiếu trong năm nay,Tăng vốn từ chia cổ tức bằng cổ phiếu trong năm nay,175.730.520.000,-,-,-,175.730.520.000,175730520000.0,,,,175730520000.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,162.908.167.948,162.908.167.948,,,,162908167948.0,162908167948.0
Tăng khác,Tăng khác,Tăng khác,-,-,14.876.800.000,362.376.925,15.239.176.925,,,14876800000.0,362376925.0,15239176925.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,(186.422.489),-,(319.241.790.754),(319.428.213.243),,-186422489.0,,-319241790754.0,-319428213243.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,(17.851.800.000),(17.851.800.000),,,,-17851800000.0,-17851800000.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,-,-,-,(301.259.976.500),(301.259.976.500),,,,-301259976500.0,-301259976500.0
Giảm khác,Giảm khác,Giảm khác,-,(186.422.489),-,(130.014.254),(316.436.743),,-186422489.0,,-130014254.0,-316436743.0
Tại ngày 31/12/2018,Tại ngày 31/12/2018,Tại ngày 31/12/2018,2.686.319.650.000,84.988.051.186,113.392.273.161,352.699.648.867,3.237.399.623.214,2686319650000.0,84988051186.0,113392273161.0,352699648867.0,3237399623214.0
