row_label_raw,row_label_full,THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO),THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_1,THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_2,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_1,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIẾP THEO)_2
,,,,Mẫu B 09-DN,,
5.27 Thu nhập khác,5.27 Thu nhập khác,5.27 Thu nhập khác,5.27 Thu nhập khác,5.27 Thu nhập khác,,
,,,Năm 2018VND,Năm 2017VND,,
Thu từ thanh lý tài sản,5.27 Thu nhập khác > Thu từ thanh lý tài sản,Thu từ thanh lý tài sản,110.223.241,5.538.878,110223241.0,5538878.0
Lãi do đánh giá lại tài sản mang di góp vốn,5.27 Thu nhập khác > Lãi do đánh giá lại tài sản mang di góp vốn,Lãi do đánh giá lại tài sản mang di góp vốn,7.920.813.328,-,7920813328.0,
Tiền phạt thu được,5.27 Thu nhập khác > Tiền phạt thu được,Tiền phạt thu được,1.551.731.978,1.832.889.452,1551731978.0,1832889452.0
Cho thuê tài sản,5.27 Thu nhập khác > Cho thuê tài sản,Cho thuê tài sản,-,908.505.450,,908505450.0
Các khoản khác,5.27 Thu nhập khác > Các khoản khác,Các khoản khác,992.109.739,1.770.234.438,992109739.0,1770234438.0
Tổng,5.27 Thu nhập khác > Tổng,Tổng,10.574.878.286,4.517.168.218,10574878286.0,4517168218.0
5.28 Chi phí khác,5.28 Chi phí khác,5.28 Chi phí khác,5.28 Chi phí khác,5.28 Chi phí khác,,
,,,Năm 2018VND,Năm 2017VND,,
Các khoản khác,5.28 Chi phí khác > Các khoản khác,Các khoản khác,6.925.471.805,6.552.640.239,6925471805.0,6552640239.0
Tổng,5.28 Chi phí khác > Tổng,Tổng,6.925.471.805,6.552.640.239,6925471805.0,6552640239.0
5.29 Chi phí thuế thu nhập doanh nghiệp hiện hành,5.29 Chi phí thuế thu nhập doanh nghiệp hiện hành,5.29 Chi phí thuế thu nhập doanh nghiệp hiện hành,5.29 Chi phí thuế thu nhập doanh nghiệp hiện hành,5.29 Chi phí thuế thu nhập doanh nghiệp hiện hành,,
,,,Năm 2018VND,Năm 2017VND,,
Chi phí thuế TNDN hiện hành tính trên thu nhập chịu thuế hiện hành,5.29 Chi phí thuế thu nhập doanh nghiệp hiện hành > Chi phí thuế TNDN hiện hành tính trên thu nhập chịu thuế hiện hành,Chi phí thuế TNDN hiện hành tính trên thu nhập chịu thuế hiện hành,27.047.658.000,69.911.245.191,27047658000.0,69911245191.0
Tổng,5.29 Chi phí thuế thu nhập doanh nghiệp hiện hành > Tổng,Tổng,27.047.658.000,69.911.245.191,27047658000.0,69911245191.0
5.30 Chi phí sản xuất kinh doanh theo yếu tố,5.30 Chi phí sản xuất kinh doanh theo yếu tố,5.30 Chi phí sản xuất kinh doanh theo yếu tố,5.30 Chi phí sản xuất kinh doanh theo yếu tố,5.30 Chi phí sản xuất kinh doanh theo yếu tố,,
,,,Năm 2018VND,Năm 2017VND,,
"Chi phí nguyên liệu, vật liệu","5.30 Chi phí sản xuất kinh doanh theo yếu tố > Chi phí nguyên liệu, vật liệu","Chi phí nguyên liệu, vật liệu",366.227.541,771.757.191,366227541.0,771757191.0
Chi phí nhân công,5.30 Chi phí sản xuất kinh doanh theo yếu tố > Chi phí nhân công,Chi phí nhân công,20.865.638.411,56.373.563.187,20865638411.0,56373563187.0
Chi phí khấu hao tài sản cố định,5.30 Chi phí sản xuất kinh doanh theo yếu tố > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,2.757.277.907,4.858.286.297,2757277907.0,4858286297.0
Chi phí dịch vụ mua ngoài,5.30 Chi phí sản xuất kinh doanh theo yếu tố > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,131.936.299.266,128.844.742.565,131936299266.0,128844742565.0
Chi phí khác bằng tiền,5.30 Chi phí sản xuất kinh doanh theo yếu tố > Chi phí khác bằng tiền,Chi phí khác bằng tiền,38.064.494.212,41.395.586.417,38064494212.0,41395586417.0
Tổng,5.30 Chi phí sản xuất kinh doanh theo yếu tố > Tổng,Tổng,193.989.937.337,232.243.935.657,193989937337.0,232243935657.0
