row_label_raw,row_label_full,col_0,31/12/2018 (VND) > Giá trị,31/12/2018 (VND) > Số cókhả năng trả nợ,01/01/2018 (VND) > Giá trị,01/01/2018 (VND) > Số cókhả năng trả nợ,numeric__31/12/2018 (VND) > Giá trị,numeric__31/12/2018 (VND) > Số cókhả năng trả nợ,numeric__01/01/2018 (VND) > Giá trị,numeric__01/01/2018 (VND) > Số cókhả năng trả nợ
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,304.869.943.828,304.869.943.828,296.224.618.413,296.224.618.413,304869943828.0,304869943828.0,296224618413.0,296224618413.0
Công ty Cổ phần Xây dựng NASACO,Công ty Cổ phần Xây dựng NASACO,Công ty Cổ phần Xây dựng NASACO,13.183.813.420,13.183.813.420,15.354.738.020,15.354.738.020,13183813420.0,13183813420.0,15354738020.0,15354738020.0
Công ty TNHH Hợp Tiến,Công ty TNHH Hợp Tiến,Công ty TNHH Hợp Tiến,1.129.505.703,1.129.505.703,1.129.505.703,1.129.505.703,1129505703.0,1129505703.0,1129505703.0,1129505703.0
Công ty Cổ phần Đầu tư và Xây dựng HUD1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,10.911.288.695,10.911.288.695,15.952.688.257,15.952.688.257,10911288695.0,10911288695.0,15952688257.0,15952688257.0
Công ty cổ phần Đầu tư & xây dựng HUD3,Công ty cổ phần Đầu tư & xây dựng HUD3,Công ty cổ phần Đầu tư & xây dựng HUD3,14.131.569.995,14.131.569.995,22.400.426.189,22.400.426.189,14131569995.0,14131569995.0,22400426189.0,22400426189.0
Công ty Cổ phần Đầu tư xây dựng Constrexim,Công ty Cổ phần Đầu tư xây dựng Constrexim,Công ty Cổ phần Đầu tư xây dựng Constrexim,15.702.194.840,15.702.194.840,18.333.567.223,18.333.567.223,15702194840.0,15702194840.0,18333567223.0,18333567223.0
Công ty Cổ phần Dịch vụ kỹ thuật,Công ty Cổ phần Dịch vụ kỹ thuật,Công ty Cổ phần Dịch vụ kỹ thuật,5.423.213.078,5.423.213.078,14.792.762.891,14.792.762.891,5423213078.0,5423213078.0,14792762891.0,14792762891.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,244.388.358.097,244.388.358.097,208.260.930.130,208.260.930.130,244388358097.0,244388358097.0,208260930130.0,208260930130.0
Tổng,Tổng,Tổng,304.869.943.828,304.869.943.828,296.224.618.413,296.224.618.413,304869943828.0,304869943828.0,296224618413.0,296224618413.0
Phải trả người bán là các bên liên quan(Chi tiết tại thuyết minh 6.2),Phải trả người bán là các bên liên quan(Chi tiết tại thuyết minh 6.2),Phải trả người bán là các bên liên quan(Chi tiết tại thuyết minh 6.2),50.855.622.037,50.855.622.037,17.293.267.399,17.293.267.399,50855622037.0,50855622037.0,17293267399.0,17293267399.0
