row_label_raw,row_label_full,col_0,31/12/2018VND,01/01/2018VND,numeric__31/12/2018VND,numeric__01/01/2018VND
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,2.437.268.607,1.787.368.474,2437268607.0,1787368474.0
Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,214.908.607,77.641.429,214908607.0,77641429.0
Công ty CP Bệnh viện Mất Hà Nội cơ sở 2,Công ty CP Bệnh viện Mất Hà Nội cơ sở 2,Công ty CP Bệnh viện Mất Hà Nội cơ sở 2,529.060.000,-,529060000.0,
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,-,126.738.045,,126738045.0
Công ty TNHH An Nhiên Foods,Công ty TNHH An Nhiên Foods,Công ty TNHH An Nhiên Foods,-,19.739.000,,19739000.0
Công ty Cổ phần Tasco Năng Lượng,Công ty Cổ phần Tasco Năng Lượng,Công ty Cổ phần Tasco Năng Lượng,60.000.000,-,60000000.0,
Công ty TNHH Thu phí tự động VETC,Công ty TNHH Thu phí tự động VETC,Công ty TNHH Thu phí tự động VETC,41.250.000,-,41250000.0,
Công ty Cổ phần BĐS Thái An,Công ty Cổ phần BĐS Thái An,Công ty Cổ phần BĐS Thái An,1.544.200.000,1.515.400.000,1544200000.0,1515400000.0
Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,47.850.000,47.850.000,47850000.0,47850000.0
Trả trước cho người bán,Trả trước cho người bán,Trả trước cho người bán,5.175.776.176,6.774.034.576,5175776176.0,6774034576.0
Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,5.175.776.176,6.774.034.576,5175776176.0,6774034576.0
Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,Phải thu khác ngắn hạn,118.356.496.192,85.773.803.765,118356496192.0,85773803765.0
