row_label_raw,row_label_full,Khoản mục,Quyền sử dụng đất,Phần mềm máy tính,Đơn vị tính: VND Tổng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Đơn vị tính: VND Tổng
Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,102.878.251,2.224.149.637,2.327.027.888,102878251.0,2224149637.0,2327027888.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,701.177.000,701.177.000,,701177000.0,701177000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,102.878.251,2.925.326.637,3.028.204.888,102878251.0,2925326637.0,3028204888.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,47.246.592,925.482.001,972.728.593,47246592.0,925482001.0,972728593.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,4.286.592,778.315.402,782.601.994,4286592.0,778315402.0,782601994.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,51.533.184,1.703.797.403,1.755.330.587,51533184.0,1703797403.0,1755330587.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,55.631.659,1.298.667.636,1.354.299.295,55631659.0,1298667636.0,1354299295.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,51.345.067,1.221.529.234,1.272.874.301,51345067.0,1221529234.0,1272874301.0
