row_label_raw,row_label_full,col_0,31/12/2018 (VND) > Giá gốc,31/12/2018 (VND) > Giá trị hợp lý,31/12/2018 (VND) > Dự phòng,01/01/2018 (VND) > Giá gốc,01/01/2018 (VND) > Giá trị hợp lý,01/01/2018 (VND) > Dự phòng,numeric__31/12/2018 (VND) > Giá gốc,numeric__31/12/2018 (VND) > Giá trị hợp lý,numeric__31/12/2018 (VND) > Dự phòng,numeric__01/01/2018 (VND) > Giá gốc,numeric__01/01/2018 (VND) > Giá trị hợp lý,numeric__01/01/2018 (VND) > Dự phòng
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,1.861.194.335.343,(*),-,1.744.587.335.343,(*),-,1861194335343.0,,,1744587335343.0,,
Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,Công ty TNHH MTV Tasco 6,65.180.000.000,,-,65.180.000.000,,-,65180000000.0,,,65180000000.0,,
Công ty CP Tasco Nam Thái,Công ty CP Tasco Nam Thái,Công ty CP Tasco Nam Thái,299.900.000.000,,-,299.900.000.000,,-,299900000000.0,,,299900000000.0,,
Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,Công ty TNHH MTV Tasco Quảng Bình,328.130.000.000,,-,328.130.000.000,,-,328130000000.0,,,328130000000.0,,
Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,343.278.019.183,,-,343.278.019.183,,-,343278019183.0,,,343278019183.0,,
Công ty CP Tasco Thành Công,Công ty CP Tasco Thành Công,Công ty CP Tasco Thành Công,6.120.000.000,,-,6.120.000.000,,-,6120000000.0,,,6120000000.0,,
Công ty CP VETC,Công ty CP VETC,Công ty CP VETC,247.300.000.000,,-,247.300.000.000,,-,247300000000.0,,,247300000000.0,,
Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,384.000.000.000,,-,384.000.000.000,,-,384000000000.0,,,384000000000.0,,
Công ty TNHH Đào tạo và Tư vấn Tasedu,Công ty TNHH Đào tạo và Tư vấn Tasedu,Công ty TNHH Đào tạo và Tư vấn Tasedu,368.000.000,,-,361.000.000,,-,368000000.0,,,361000000.0,,
Công ty TNHH T'Hospital,Công ty TNHH T'Hospital,Công ty TNHH T'Hospital,158.600.000.000,,-,32.500.000.000,,-,158600000000.0,,,32500000000.0,,
Công ty TNHH An Nhiên Foods,Công ty TNHH An Nhiên Foods,Công ty TNHH An Nhiên Foods,8.000.000.000,,-,8.000.000.000,,-,8000000000.0,,,8000000000.0,,
Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH MTV Dịch vụ Tasco,Công ty TNHH MTV Dịch vụ Tasco,2.418.316.160,,-,1.918.316.160,,-,2418316160.0,,,1918316160.0,,
Công ty CP Tasco Năng Lượng,Công ty CP Tasco Năng Lượng,Công ty CP Tasco Năng Lượng,-,,-,10.000.000.000,,-,,,,10000000000.0,,
Công ty CP Bệnh viện mất Hà Nội cơ sở 2,Công ty CP Bệnh viện mất Hà Nội cơ sở 2,Công ty CP Bệnh viện mất Hà Nội cơ sở 2,17.850.000.000,,-,17.850.000.000,,-,17850000000.0,,,17850000000.0,,
Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,Công ty TNHH thu phí tự động VETC,50.000.000,,-,50.000.000,,-,50000000.0,,,50000000.0,,
,,,31/12/2018 (VND),31/12/2018 (VND),31/12/2018 (VND),01/01/2018 (VND),01/01/2018 (VND),01/01/2018 (VND),,,,,,
,,,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",454.419.205.000,,(2.873.833.698),302.459.049.400,,(2.873.833.698),454419205000.0,,-2873833698.0,302459049400.0,,-2873833698.0
Công ty CP Tasco Năng Lượng,Công ty CP Tasco Năng Lượng,Công ty CP Tasco Năng Lượng,121.800.000.000,(*),-,-,(*),-,121800000000.0,,,,,
Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,Tổng công ty Thăng Long - CTCP,239.567.505.000,(**),-,211.907.349.400,,-,239567505000.0,,,211907349400.0,,
Công ty TNHH BOT Hùng Thắng-Phú Thọ,Công ty TNHH BOT Hùng Thắng-Phú Thọ,Công ty TNHH BOT Hùng Thắng-Phú Thọ,69.000.000.000,(*),-,69.000.000.000,(*),-,69000000000.0,,,69000000000.0,,
Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,Công ty CP Bất động sản Thái An,20.251.700.000,,(2.336.336.527),17.751.700.000,,(2.336.336.527),20251700000.0,,-2336336527.0,17751700000.0,,-2336336527.0
Công ty CP Tasco Thăng Long,Công ty CP Tasco Thăng Long,Công ty CP Tasco Thăng Long,1.800.000.000,(*),-,1.800.000.000,(*),-,1800000000.0,,,1800000000.0,,
Công ty CP D - Tech,Công ty CP D - Tech,Công ty CP D - Tech,2.000.000.000,,(537.497.171),2.000.000.000,,(537.497.171),2000000000.0,,-537497171.0,2000000000.0,,-537497171.0
