row_label_raw,row_label_full,THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIÉP THEO),THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIÉP THEO)_1,Mẫu B 09-DN,numeric__THUYÊT MINH BÁO CÁO TÀI CHÍNH (TIÉP THEO)_1,numeric__Mẫu B 09-DN
5.19 Vốn chủ sở hữu (Tiếp theo),5.19 Vốn chủ sở hữu (Tiếp theo),5.19 Vốn chủ sở hữu (Tiếp theo),5.19 Vốn chủ sở hữu (Tiếp theo),,,
b. Chi tiết vốn chủ sở hữu,b. Chi tiết vốn chủ sở hữu,b. Chi tiết vốn chủ sở hữu,b. Chi tiết vốn chủ sở hữu,,,
,,,31/12/2018VND,01/01/2018VND,,
Vốn góp của cổ đông,b. Chi tiết vốn chủ sở hữu > Vốn góp của cổ đông,Vốn góp của cổ đông,2.686.319.650.000,2.510.589.130.000,2686319650000.0,2510589130000.0
Tổng,b. Chi tiết vốn chủ sở hữu > Tổng,Tổng,2.686.319.650.000,2.510.589.130.000,2686319650000.0,2510589130000.0
