row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2018VND,Giá trị ghi số > 01/01/2018VND,numeric__Giá trị ghi số > 31/12/2018VND,numeric__Giá trị ghi số > 01/01/2018VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,76.644.572.623,220.899.970.294,76644572623.0,220899970294.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.968.948.923.689,1.372.733.199.083,1968948923689.0,1372733199083.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,204.774.270.000,122.012.232.203,204774270000.0,122012232203.0
Đầu tư ngắn hạn,Tài sản tài chính > Đầu tư ngắn hạn,Đầu tư ngắn hạn,60.314.980.583,246.331.476.176,60314980583.0,246331476176.0
Đầu tư dài hạn,Tài sản tài chính > Đầu tư dài hạn,Đầu tư dài hạn,29.130.000.000,11.130.000.000,29130000000.0,11130000000.0
Tổng,Tài sản tài chính > Tổng,Tổng,2.339.812.746.895,1.973.106.877.756,2339812746895.0,1973106877756.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,1.908.650.857.085,1.951.974.660.837,1908650857085.0,1951974660837.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,49.337.877.072,110.231.413.214,49337877072.0,110231413214.0
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,490.110.113.612,744.614.646.540,490110113612.0,744614646540.0
Tổng,Công nợ tài chính > Tổng,Tổng,2.448.098.847.769,2.806.820.720.591,2448098847769.0,2806820720591.0
