row_label_raw,row_label_full,CHỈ TIÊU,MS,TM,Năm 2018VND,Năm 2017VND,numeric__MS,numeric__TM,numeric__Năm 2018VND,numeric__Năm 2017VND
I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,
Lợi nhuận trước thuế,I. Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,189.955.825.948,410.742.140.733,1.0,,189955825948.0,410742140733.0
Điều chỉnh cho các khoản,I. Lưu chuyển tiền từ hoạt động kinh doanh > Điều chỉnh cho các khoản,Điều chỉnh cho các khoản,,,(142.955.997.522),(66.752.429.419),,,-142955997522.0,-66752429419.0
Khấu hao TSCĐ và BĐSDĐT,I. Lưu chuyển tiền từ hoạt động kinh doanh > Khấu hao TSCĐ và BĐSDĐT,Khấu hao TSCĐ và BĐSDĐT,02,,3.065.766.092,4.858.286.297,2.0,,3065766092.0,4858286297.0
Các khoản dự phòng,I. Lưu chuyển tiền từ hoạt động kinh doanh > Các khoản dự phòng,Các khoản dự phòng,03,,21.390.549.657,(396.110.699),3.0,,21390549657.0,-396110699.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","I. Lưu chuyển tiền từ hoạt động kinh doanh > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,-,(95.748.796.260),4.0,,,-95748796260.0
"Lãi, lỗ từ hoạt động đầu tư","I. Lưu chuyển tiền từ hoạt động kinh doanh > Lãi, lỗ từ hoạt động đầu tư","Lãi, lỗ từ hoạt động đầu tư",05,,(167.507.596.913),-,5.0,,-167507596913.0,
Chi phí lãi vay,I. Lưu chuyển tiền từ hoạt động kinh doanh > Chi phí lãi vay,Chi phí lãi vay,06,,95.283.642,24.534.191.243,6.0,,95283642.0,24534191243.0
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,I. Lưu chuyển tiền từ hoạt động kinh doanh > Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,46.999.828.426,343.989.711.314,8.0,,46999828426.0,343989711314.0
"Tăng, giảm các khoản phải thu","I. Lưu chuyển tiền từ hoạt động kinh doanh > Tăng, giảm các khoản phải thu","Tăng, giảm các khoản phải thu",09,,(45.032.691.137),210.872.165.737,9.0,,-45032691137.0,210872165737.0
"Tăng, giảm hàng tồn kho","I. Lưu chuyển tiền từ hoạt động kinh doanh > Tăng, giảm hàng tồn kho","Tăng, giảm hàng tồn kho",10,,19.318.013.114,11.860.623.570,10.0,,19318013114.0,11860623570.0
"Tăng, giảm các khoản phải trả","I. Lưu chuyển tiền từ hoạt động kinh doanh > Tăng, giảm các khoản phải trả","Tăng, giảm các khoản phải trả",11,,326.953.102.467,(164.432.166.883),11.0,,326953102467.0,-164432166883.0
"Tăng, giảm chi phí trả trước","I. Lưu chuyển tiền từ hoạt động kinh doanh > Tăng, giảm chi phí trả trước","Tăng, giảm chi phí trả trước",12,,712.077.322,521.672.151,12.0,,712077322.0,521672151.0
Tiền lãi vay đã trả,I. Lưu chuyển tiền từ hoạt động kinh doanh > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(83.978.545),(24.534.191.243),14.0,,-83978545.0,-24534191243.0
Thuế thu nhập doanh nghiệp đã nộp,I. Lưu chuyển tiền từ hoạt động kinh doanh > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(52.078.828.751),(65.782.055.072),15.0,,-52078828751.0,-65782055072.0
Tiền thu khác từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,-,5.949.238.911,16.0,,,5949238911.0
Tiền chi khác cho hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(254.146.979),-,17.0,,-254146979.0,
Lưu chuyển tiền thuần từ hoạt động kinh doanh,I. Lưu chuyển tiền từ hoạt động kinh doanh > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,296.533.375.917,318.444.998.485,20.0,,296533375917.0,318444998485.0
