row_label_raw,row_label_full,Các khoản chi phí quản lý doanh nghiệp phát sinh trong năm,Năm 2018VND > 74.783.091.086,Năm 2017VND > 59.365.590.684,numeric__Năm 2018VND > 74.783.091.086,numeric__Năm 2017VND > 59.365.590.684
Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,20.595.467.557,25.619.013.488,20595467557.0,25619013488.0
Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,Chi phí đồ dùng văn phòng,366.227.541,687.336.236,366227541.0,687336236.0
Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,2.757.277.907,2.948.601.035,2757277907.0,2948601035.0
"Thuế, phí và lệ phí","Thuế, phí và lệ phí","Thuế, phí và lệ phí",185.977.054,116.370.337,185977054.0,116370337.0
Chi phí dự phòng/Hoàn nhập dự phòng,Chi phí dự phòng/Hoàn nhập dự phòng,Chi phí dự phòng/Hoàn nhập dự phòng,21.615.299.657,224.750.000,21615299657.0,224750000.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,6.559.269.447,9.514.318.542,6559269447.0,9514318542.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,22.703.571.923,20.255.201.046,22703571923.0,20255201046.0
Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,Các khoản chi phí bán hàng phát sinh trong năm,15.997.189.452,20.538.317.656,15997189452.0,20538317656.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,270.170.854,2.019.593.329,270170854.0,2019593329.0
"Chi phí dụng cụ, đồ dùng","Chi phí dụng cụ, đồ dùng","Chi phí dụng cụ, đồ dùng",-,4.753.786,,4753786.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,366.096.309,579.024.932,366096309.0,579024932.0
Chi phí khác bằng tiền,Chi phí khác bằng tiền,Chi phí khác bằng tiền,15.360.922.289,17.934.945.609,15360922289.0,17934945609.0
Tổng,Tổng,Tổng,90.780.280.538,79.903.908.340,90780280538.0,79903908340.0
