row_label_raw,row_label_full,"23.3 Thông tin chi tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: > Khoản mục đảm bảo vay ngắn hạn, dài hạn","23.3 Thông tin chi tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: > Số cuối năm","23.3 Thông tin chi tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: > Số đầu năm","numeric__23.3 Thông tin chi tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: > Số cuối năm","numeric__23.3 Thông tin chi tiết về giá trị tài sản dùng đảm bảo khoản vay ngắn hạn, dài hạn như sau: > Số đầu năm"
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,22.885.000.000,-,22885000000.0,
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,279.323.546.468,69.334.934.010,279323546468.0,69334934010.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,1.088.545.082.212,-,1088545082212.0,
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",41.818.810.343,58.275.172.942,41818810343.0,58275172942.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,5.830.568.062.453,5.662.169.287.315,5830568062453.0,5662169287315.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,714.937.436.654,145.910.286.376,714937436654.0,145910286376.0
Chỉ phí xây dựng cơ bản dở dang,Chỉ phí xây dựng cơ bản dở dang,Chỉ phí xây dựng cơ bản dở dang,66.351.352.555,-,66351352555.0,
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,540.253.358.372,-,540253358372.0,
Đầu tư nắm giữ đến ngày đáo hạn - Ngân hạn,Đầu tư nắm giữ đến ngày đáo hạn - Ngân hạn,Đầu tư nắm giữ đến ngày đáo hạn - Ngân hạn,88.124.799.083,-,88124799083.0,
Đầu tư nắm giữ đến ngày đáo hạn - Dài hạn,Đầu tư nắm giữ đến ngày đáo hạn - Dài hạn,Đầu tư nắm giữ đến ngày đáo hạn - Dài hạn,3.000.000.000,-,3000000000.0,
Khoản đầu tư vào Công ty con trong tập đoàn,Khoản đầu tư vào Công ty con trong tập đoàn,Khoản đầu tư vào Công ty con trong tập đoàn,499.900.000.000,-,499900000000.0,
Cổ phần nắm giữ,Cổ phần nắm giữ,Cổ phần nắm giữ,189.939.990.203,-,189939990203.0,
Cộng giá trị tài sản đảm bảo,Cộng giá trị tài sản đảm bảo,Cộng giá trị tài sản đảm bảo,9.365.647.438.343,5.935.689.680.643,9365647438343.0,5935689680643.0
