row_label_raw,row_label_full,20.1 Doanh thu chưa thực hiện ngắn hạn,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Doanh thu cho thuê bất động sản nhận trước,Doanh thu cho thuê bất động sản nhận trước,Doanh thu cho thuê bất động sản nhận trước,8.054.246.209,-,8054246209.0,
Doanh thu chưa thực hiện từ hoạt động bán hàng có điều kiện,Doanh thu chưa thực hiện từ hoạt động bán hàng có điều kiện,Doanh thu chưa thực hiện từ hoạt động bán hàng có điều kiện,7.328.781.383,-,7328781383.0,
Các khoản doanh thu chưa thực hiện khác,Các khoản doanh thu chưa thực hiện khác,Các khoản doanh thu chưa thực hiện khác,7.952.113.287,1.101.388.297,7952113287.0,1101388297.0
Cộng,Cộng,Cộng,23.335.140.879,1.101.388.297,23335140879.0,1101388297.0
20.2 Doanh thu chưa thực hiện dài hạn,20.2 Doanh thu chưa thực hiện dài hạn,20.2 Doanh thu chưa thực hiện dài hạn,Số cuối năm,Số đầu năm,,
Doanh thu cho thuê bất động sản nhận trước,20.2 Doanh thu chưa thực hiện dài hạn > Doanh thu cho thuê bất động sản nhận trước,Doanh thu cho thuê bất động sản nhận trước,45.023.199.995,-,45023199995.0,
Doanh thu chưa thực hiện từ hoạt động bán hàng có điều kiện,20.2 Doanh thu chưa thực hiện dài hạn > Doanh thu chưa thực hiện từ hoạt động bán hàng có điều kiện,Doanh thu chưa thực hiện từ hoạt động bán hàng có điều kiện,8.328.482.705,-,8328482705.0,
Các khoản doanh thu chưa thực hiện khác,20.2 Doanh thu chưa thực hiện dài hạn > Các khoản doanh thu chưa thực hiện khác,Các khoản doanh thu chưa thực hiện khác,3.049.618.030,596.268.865,3049618030.0,596268865.0
Cộng,20.2 Doanh thu chưa thực hiện dài hạn > Cộng,Cộng,56.401.300.730,596.268.865,56401300730.0,596268865.0
