row_label_raw,row_label_full,TÀI SẢN,TÀI SẢN_1,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN_1,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,A - TÀI SẢN NGĂN HẠN,100,,10.300.054.191.510,3.139.808.104.404,,100.0,,10300054191510.0,3139808104404.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,V.1,1.701.723.734.047,953.430.125.623,,110.0,,1701723734047.0,953430125623.0
1.,1.,1.,Tiền,111,,1.581.227.686.418,936.427.741.777,,111.0,,1581227686418.0,936427741777.0
2.,2.,2.,Các khoản tương đương tiền,112,,120.496.047.629,17.002.383.846,,112.0,,120496047629.0,17002383846.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,358.488.446.834,550.664.500.000,,120.0,,358488446834.0,550664500000.0
1.,1.,1.,Chứng khoán kinh doanh,121,V.2.1,28.274.992.543,360.454.500.000,,121.0,,28274992543.0,360454500000.0
2.,2.,2.,Dự phòng giảm giá chứng khoán kinh doanh,122,V.2.1,(15.756.098.581),-,,122.0,,-15756098581.0,
3.,3.,3.,Đầu tư nắm giữ đến ngày đáo hạn,123,V.2.2.1,345.969.552.872,190.210.000.000,,123.0,,345969552872.0,190210000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,5.575.074.417.400,1.467.063.807.714,,130.0,,5575074417400.0,1467063807714.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,V.3,1.401.535.413.697,456.794.507.342,,131.0,,1401535413697.0,456794507342.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,V.4.1,449.925.147.884,57.785.088.176,,132.0,,449925147884.0,57785088176.0
3.,3.,3.,Phải thụ về cho vay ngắn hạn,135,V.5,541.405.000.000,15.299.000.000,,135.0,,541405000000.0,15299000000.0
4.,4.,4.,Phải thu ngắn hạn khác,136,V.6.1,3.335.951.279.101,1.088.144.521.499,,136.0,,3335951279101.0,1088144521499.0
5.,5.,5.,Dự phòng phải thu ngắn hạn khó đòi,137,V.7,(153.742.423.282),(150.959.309.303),,137.0,,-153742423282.0,-150959309303.0
IV.,IV.,IV.,Hàng tồn kho,140,V.8,2.487.164.779.827,98.279.326.128,,140.0,,2487164779827.0,98279326128.0
1.,1.,1.,Hàng tồn kho,141,,2.489.622.210.452,98.279.326.128,,141.0,,2489622210452.0,98279326128.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(2.457.430.625),-,,149.0,,-2457430625.0,
V.,V.,V.,Tài sản ngắn hạn khác,150,,177.602.813.402,70.370.344.939,,150.0,,177602813402.0,70370344939.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,V.9.1,45.892.695.089,4.618.576.778,,151.0,,45892695089.0,4618576778.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,120.154.954.456,64.835.925.722,,152.0,,120154954456.0,64835925722.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,V.18.2,11.555.163.857,915.842.439,,153.0,,11555163857.0,915842439.0
