row_label_raw,row_label_full,Chi phí phải trả ngắn hạn,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Trích trước chi phí lãi vay phải trả,Trích trước chi phí lãi vay phải trả,Trích trước chi phí lãi vay phải trả,15.036.985.349,12.788.304.655,15036985349.0,12788304655.0
Trích trước giá vốn bất động sản,Trích trước giá vốn bất động sản,Trích trước giá vốn bất động sản,43.071.616.298,43.544.589.503,43071616298.0,43544589503.0
Trích trước giá vốn dịch vụ thu phí tự động không dùng,Trích trước giá vốn dịch vụ thu phí tự động không dùng,Trích trước giá vốn dịch vụ thu phí tự động không dùng,14.480.244.468,5.130.719.291,14480244468.0,5130719291.0
Lương và các chi phí có liên quan,Lương và các chi phí có liên quan,Lương và các chi phí có liên quan,14.693.593.041,-,14693593041.0,
Chi phí phải trả khác,Chi phí phải trả khác,Chi phí phải trả khác,47.142.518.880,8.454.924.323,47142518880.0,8454924323.0
Cộng,Cộng,Cộng,134.424.958.036,69.918.537.772,134424958036.0,69918537772.0
