row_label_raw,row_label_full,24. Vốn chủ sở hữu,24. Vốn chủ sở hữu_1,24. Vốn chủ sở hữu_2,24. Vốn chủ sở hữu_3,24. Vốn chủ sở hữu_4,24. Vốn chủ sở hữu_5,24. Vốn chủ sở hữu_6,numeric__24. Vốn chủ sở hữu_1,numeric__24. Vốn chủ sở hữu_2,numeric__24. Vốn chủ sở hữu_3,numeric__24. Vốn chủ sở hữu_4,numeric__24. Vốn chủ sở hữu_5,numeric__24. Vốn chủ sở hữu_6
24.1 Băng đối chiếu biến động của vốn chủ sở hữu,24.1 Băng đối chiếu biến động của vốn chủ sở hữu,24.1 Băng đối chiếu biến động của vốn chủ sở hữu,24.1 Băng đối chiếu biến động của vốn chủ sở hữu,24.1 Băng đối chiếu biến động của vốn chủ sở hữu,24.1 Băng đối chiếu biến động của vốn chủ sở hữu,24.1 Băng đối chiếu biến động của vốn chủ sở hữu,24.1 Băng đối chiếu biến động của vốn chủ sở hữu,24.1 Băng đối chiếu biến động của vốn chủ sở hữu,,,,,,
,,,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,,,,,,
Số dư đầu năm trước,24.1 Băng đối chiếu biến động của vốn chủ sở hữu > Số dư đầu năm trước,Số dư đầu năm trước,3.486.319.650.000,84.541.583.395,122.247.635.329,55.678.096.086,(31.158.320.333),3.717.628.644.477,3486319650000.0,84541583395.0,122247635329.0,55678096086.0,-31158320333.0,3717628644477.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,-,-,-,-,-,-,,,,,,
Lãi/lỗ trong năm trước,Tăng vốn trong năm trước > Lãi/lỗ trong năm trước,Lãi/lỗ trong năm trước,-,-,-,144.565.241.241,(719.718.933),143.845.522.308,,,,144565241241.0,-719718933.0,143845522308.0
Tăng do thoái vốn tại Công ty con,Tăng vốn trong năm trước > Tăng do thoái vốn tại Công ty con,Tăng do thoái vốn tại Công ty con,-,-,-,-,13.074.286.139,13.074.286.139,,,,,13074286139.0,13074286139.0
Tăng khác,Tăng vốn trong năm trước > Tăng khác,Tăng khác,-,-,-,166.531.839,4.242.026.888,4.408.558.727,,,,166531839.0,4242026888.0,4408558727.0
Phân phối các quỹ,Tăng vốn trong năm trước > Phân phối các quỹ,Phân phối các quỹ,-,-,3.079.200.000,(3.695.100.000),-,(615.900.000),,,3079200000.0,-3695100000.0,,-615900000.0
Giảm khác,Tăng vốn trong năm trước > Giảm khác,Giảm khác,-,(395.138.599),-,(4.312.374.854),(166.531.839),(4.874.045.292),,-395138599.0,,-4312374854.0,-166531839.0,-4874045292.0
Số dư cuối năm trước/đầu năm nay,Tăng vốn trong năm trước > Số dư cuối năm trước/đầu năm nay,Số dư cuối năm trước/đầu năm nay,3.486.319.650.000,84.146.444.796,125.326.835.329,192.402.394.312,(14.728.258.078),3.873.467.066.359,3486319650000.0,84146444796.0,125326835329.0,192402394312.0,-14728258078.0,3873467066359.0
Tăng vốn do hoán đổi cổ phiếu (*),Tăng vốn trong năm trước > Tăng vốn do hoán đổi cổ phiếu (*),Tăng vốn do hoán đổi cổ phiếu (*),5.438.800.000.000,9.844.228.000.000,-,-,-,15.283.028.000.000,5438800000000.0,9844228000000.0,,,,15283028000000.0
Tăng/giảm do hoán đổi cổ phiếu,Tăng vốn trong năm trước > Tăng/giảm do hoán đổi cổ phiếu,Tăng/giảm do hoán đổi cổ phiếu,-,(10.718.569.076.222),-,-,2.819.125.194.580,(7.899.443.881.642),,-10718569076222.0,,,2819125194580.0,-7899443881642.0
Lãi/lỗ trong năm nay,Tăng vốn trong năm trước > Lãi/lỗ trong năm nay,Lãi/lỗ trong năm nay,-,-,-,47.195.843.779,9.152.820.784,56.348.664.563,,,,47195843779.0,9152820784.0,56348664563.0
Giảm khác,Tăng vốn trong năm trước > Giảm khác,Giảm khác,-,(88.000.000),-,(11.064.185),-,(99.064.185),,-88000000.0,,-11064185.0,,-99064185.0
Số dư cuối năm nay,Tăng vốn trong năm trước > Số dư cuối năm nay,Số dư cuối năm nay,8.925.119.650.000,(790.282.631.426),125.326.835.329,239.587.173.906,2.813.549.757.286,11.313.300.785.095,8925119650000.0,-790282631426.0,125326835329.0,239587173906.0,2813549757286.0,11313300785095.0
