row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất (*),numeric__Phần mềm máy tính,numeric__Cộng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,-,197.318.411.065,197.318.411.065,,197318411065.0,197318411065.0
Mua trong năm,NGUYÊN GIÁ > Mua trong năm,Mua trong năm,,38.012.568.984,38.012.568.984,,38012568984.0,38012568984.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,609.842.023.846,17.414.212.023,627.256.235.869,609842023846.0,17414212023.0,627256235869.0
Hủy bỏ tài sản,NGUYÊN GIÁ > Hủy bỏ tài sản,Hủy bỏ tài sản,-,(283.970.000),(283.970.000),,-283970000.0,-283970000.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,609.842.023.846,252.461.222.072,862.303.245.918,609842023846.0,252461222072.0,862303245918.0
HAO MÔN LUỸ KẾ,HAO MÔN LUỸ KẾ,HAO MÔN LUỸ KẾ,HAO MÔN LUỸ KẾ,HAO MÔN LUỸ KẾ,HAO MÔN LUỸ KẾ,,,
Số đầu năm,HAO MÔN LUỸ KẾ > Số đầu năm,Số đầu năm,-,51.060.454.017,51.060.454.017,,51060454017.0,51060454017.0
Khấu hao trong năm,HAO MÔN LUỸ KẾ > Khấu hao trong năm,Khấu hao trong năm,2.960.159.887,14.018.483.351,16.978.643.238,2960159887.0,14018483351.0,16978643238.0
Tăng do hợp nhất kinh doanh,HAO MÔN LUỸ KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,25.025.714.955,11.523.762.321,36.549.477.276,25025714955.0,11523762321.0,36549477276.0
Hủy bỏ tài sản,HAO MÔN LUỸ KẾ > Hủy bỏ tài sản,Hủy bỏ tài sản,-,(283.970.000),(283.970.000),,-283970000.0,-283970000.0
Số cuối năm,HAO MÔN LUỸ KẾ > Số cuối năm,Số cuối năm,27.985.874.842,76.318.729.689,104.304.604.531,27985874842.0,76318729689.0,104304604531.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,-,146.257.957.048,146.257.957.048,,146257957048.0,146257957048.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,581.856.149.004,176.142.492.383,757.998.641.387,581856149004.0,176142492383.0,757998641387.0
