row_label_raw,row_label_full,23. Vay và nợ thuê tài chính,23. Vay và nợ thuê tài chính_1,23. Vay và nợ thuê tài chính_2,23. Vay và nợ thuê tài chính_3,23. Vay và nợ thuê tài chính_4,23. Vay và nợ thuê tài chính_5,23. Vay và nợ thuê tài chính_6,23. Vay và nợ thuê tài chính_7,numeric__23. Vay và nợ thuê tài chính_1,numeric__23. Vay và nợ thuê tài chính_2,numeric__23. Vay và nợ thuê tài chính_3,numeric__23. Vay và nợ thuê tài chính_4,numeric__23. Vay và nợ thuê tài chính_5,numeric__23. Vay và nợ thuê tài chính_6,numeric__23. Vay và nợ thuê tài chính_7
23.1 Vay và nợ thuê tài chính ngắn hạn,23.1 Vay và nợ thuê tài chính ngắn hạn,23.1 Vay và nợ thuê tài chính ngắn hạn,23.1 Vay và nợ thuê tài chính ngắn hạn,23.1 Vay và nợ thuê tài chính ngắn hạn,23.1 Vay và nợ thuê tài chính ngắn hạn,23.1 Vay và nợ thuê tài chính ngắn hạn,23.1 Vay và nợ thuê tài chính ngắn hạn,23.1 Vay và nợ thuê tài chính ngắn hạn,23.1 Vay và nợ thuê tài chính ngắn hạn,,,,,,,
,,,Số đầu năm,Số đầu năm,Trong năm,Trong năm,Trong năm,Số cuối năm,Số cuối năm,,,,,,,
,,,Giá trị,Số có khả năng trả nợ,Tăng,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,,
,,,Giá trị,Số có khả năng trả nợ,Vay mới,Do hợp nhất kinh doanh,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,,
Vay ngắn hạn,23.1 Vay và nợ thuê tài chính ngắn hạn > Vay ngắn hạn,Vay ngắn hạn,3.303.629.333,3.303.629.333,5.815.736.898.032,3.618.957.733.496,6.516.247.554.841,2.921.750.706.020,2.921.750.706.020,3303629333.0,3303629333.0,5815736898032.0,3618957733496.0,6516247554841.0,2921750706020.0,2921750706020.0
Vay ngân hàng,23.1 Vay và nợ thuê tài chính ngắn hạn > Vay ngân hàng,Vay ngân hàng,3.303.629.333,3.303.629.333,5.442.370.076.356,3.367.257.894.513,6.275.511.433.963,2.537.420.166.239,2.537.420.166.239,3303629333.0,3303629333.0,5442370076356.0,3367257894513.0,6275511433963.0,2537420166239.0,2537420166239.0
Vay tổ chức tài chính,23.1 Vay và nợ thuê tài chính ngắn hạn > Vay tổ chức tài chính,Vay tổ chức tài chính,-,-,373.366.821.676,247.270.838.983,237.756.120.878,382.881.539.781,382.881.539.781,,,373366821676.0,247270838983.0,237756120878.0,382881539781.0,382881539781.0
Vay đối tượng khác,23.1 Vay và nợ thuê tài chính ngắn hạn > Vay đối tượng khác,Vay đối tượng khác,-,-,-,4.429.000.000,2.980.000.000,1.449.000.000,1.449.000.000,,,,4429000000.0,2980000000.0,1449000000.0,1449000000.0
Nợ dài hạn đến hạn trả,23.1 Vay và nợ thuê tài chính ngắn hạn > Nợ dài hạn đến hạn trả,Nợ dài hạn đến hạn trả,277.020.644.316,277.020.644.316,358.587.206.255,38.323.528.257,275.627.669.629,398.303.709.199,398.303.709.199,277020644316.0,277020644316.0,358587206255.0,38323528257.0,275627669629.0,398303709199.0,398303709199.0
Vay ngân hàng,23.1 Vay và nợ thuê tài chính ngắn hạn > Vay ngân hàng,Vay ngân hàng,277.020.644.316,277.020.644.316,358.587.206.255,26.646.369.361,275.627.669.629,386.626.550.303,386.626.550.303,277020644316.0,277020644316.0,358587206255.0,26646369361.0,275627669629.0,386626550303.0,386626550303.0
