row_label_raw,row_label_full,21.1 Phải trả ngắn hạn khác,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả khác là bên thứ ba,Phải trả khác là bên thứ ba,Phải trả khác là bên thứ ba,3.214.784.879.504,1.142.562.624.247,3214784879504.0,1142562624247.0
Bảo hiểm xã hội,Bảo hiểm xã hội,Bảo hiểm xã hội,429.658.250,-,429658250.0,
Bảo hiểm y tế,Bảo hiểm y tế,Bảo hiểm y tế,325.058.666,-,325058666.0,
Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,Bảo hiểm thất nghiệp,164.398.520,-,164398520.0,
Kinh phí công đoàn,Kinh phí công đoàn,Kinh phí công đoàn,3.569.399.007,1.138.148.524,3569399007.0,1138148524.0
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",2.729.452.741,237.796.000,2729452741.0,237796000.0
"Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",22.614.666.840,9.266.195.220,22614666840.0,9266195220.0
Phần vốn tại Công ty TNHH New Energy Holdings được ủy quyền từ cá nhân,Phần vốn tại Công ty TNHH New Energy Holdings được ủy quyền từ cá nhân,Phần vốn tại Công ty TNHH New Energy Holdings được ủy quyền từ cá nhân,1.710.200.000.000,-,1710200000000.0,
Phải trả khách hàng ETC,Phải trả khách hàng ETC,Phải trả khách hàng ETC,913.513.735.544,793.234.428.623,913513735544.0,793234428623.0
"Phải trả, phải nộp khác","Phải trả, phải nộp khác","Phải trả, phải nộp khác",561.238.509.936,338.686.055.880,561238509936.0,338686055880.0
Phải trả khác là bên liên quan,Phải trả khác là bên liên quan,Phải trả khác là bên liên quan,465.153.000,302.318.000,465153000.0,302318000.0
(Chi tiết phải trả khác là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả khác là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả khác là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả khác là bên liên quan được thuyết minh tại thuyết minh số VIII.2),(Chi tiết phải trả khác là bên liên quan được thuyết minh tại thuyết minh số VIII.2),,
Cộng,(Chi tiết phải trả khác là bên liên quan được thuyết minh tại thuyết minh số VIII.2) > Cộng,Cộng,3.215.250.032.504,1.142.864.942.247,3215250032504.0,1142864942247.0
