row_label_raw,row_label_full,Số dư đầu năm > Trích lập dự phòng bổ sung trong năm > Hoàn nhập dự phòng trong năm,Năm nay > 154.109.309.303 > 2.887.513.676 > (9.520.403.844),Năm trước > 107.324.162.056 > 24.229.094.009 > -,numeric__Năm nay > 154.109.309.303 > 2.887.513.676 > (9.520.403.844),numeric__Năm trước > 107.324.162.056 > 24.229.094.009 > -
Tăng do hợp nhất,Tăng do hợp nhất,Tăng do hợp nhất,11.251.035.973,22.556.053.238,11251035973.0,22556053238.0
Xóa nợ bằng khoản dự phòng trong năm,Xóa nợ bằng khoản dự phòng trong năm,Xóa nợ bằng khoản dự phòng trong năm,-,-,,
Số dư cuối năm,Xóa nợ bằng khoản dự phòng trong năm > Số dư cuối năm,Số dư cuối năm,158.727.455.108,154.109.309.303,158727455108.0,154109309303.0
