row_label_raw,row_label_full,"11. Tăng, giảm tài sản cố định hữu hình","11. Tăng, giảm tài sản cố định hữu hình_1","11. Tăng, giảm tài sản cố định hữu hình_2","11. Tăng, giảm tài sản cố định hữu hình_3","11. Tăng, giảm tài sản cố định hữu hình_4","11. Tăng, giảm tài sản cố định hữu hình_5","11. Tăng, giảm tài sản cố định hữu hình_6","numeric__11. Tăng, giảm tài sản cố định hữu hình_1","numeric__11. Tăng, giảm tài sản cố định hữu hình_2","numeric__11. Tăng, giảm tài sản cố định hữu hình_3","numeric__11. Tăng, giảm tài sản cố định hữu hình_4","numeric__11. Tăng, giảm tài sản cố định hữu hình_5","numeric__11. Tăng, giảm tài sản cố định hữu hình_6"
,,,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải truyền dẫn,"Thiết bị,dụng cụ quản lý",TSCĐhửu hình khác,Cộng,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,1.788.447.250,16.358.005.274,9.458.654.653,8.975.887.027,7.448.407.388.556,7.484.988.382.760,1788447250.0,16358005274.0,9458654653.0,8975887027.0,7448407388556.0,7484988382760.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,23.776.570.690,21.185.970.155,28.112.424.247,36.360.000,5.685.373.199,78.796.698.291,23776570690.0,21185970155.0,28112424247.0,36360000.0,5685373199.0,78796698291.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,45.561.712.866,2.030.022.573,-,-,46.681.376.894,94.273.112.333,45561712866.0,2030022573.0,,,46681376894.0,94273112333.0
Tăng do hợp nhất kinh doanh,NGUYÊN GIÁ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,989.083.407.246,289.447.706.343,267.351.391.173,24.833.556.711,9.268.688.362,1.579.984.749.835,989083407246.0,289447706343.0,267351391173.0,24833556711.0,9268688362.0,1579984749835.0
Tăng khác,NGUYÊN GIÁ > Tăng khác,Tăng khác,-,-,-,-,5.019.512.549,5.019.512.549,,,,,5019512549.0,5019512549.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(207.471.037),(697.722.180),(34.521.216.033),(248.281.005),(49.144.251),(35.723.834.506),-207471037.0,-697722180.0,-34521216033.0,-248281005.0,-49144251.0,-35723834506.0
Hủy bỏ tài sản,NGUYÊN GIÁ > Hủy bỏ tài sản,Hủy bỏ tài sản,-,(190.909.091),-,(240.168.304),-,(431.077.395),,-190909091.0,,-240168304.0,,-431077395.0
Giảm do thoái vốn tại Công ty con,NGUYÊN GIÁ > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,-,(108.909.091),-,-,-,(108.909.091),,-108909091.0,,,,-108909091.0
