row_label_raw,row_label_full,CHỈ TIÊU,CHỈ TIÊU_1,Mã số,Thuyết minh,Năm nay,Đơn vị tính: VND > Năm trước,numeric__CHỈ TIÊU_1,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,,55.845.910.188,190.982.547.638,,1.0,,55845910188.0,190982547638.0
2.,2.,2.,Điều chỉnh cho các khoản:,,,,,,,,,
-,2. > -,-,Khấu hao tài sản cố định và bất động sản đầu tư,02,,494.962.414.253,291.798.298.567,,2.0,,494962414253.0,291798298567.0
-,2. > -,-,Các khoản dự phòng,03,,41.996.305.673,24.331.370.434,,3.0,,41996305673.0,24331370434.0
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,(81.337.739),-,,4.0,,-81337739.0,
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,,(321.232.659.141),(378.870.829.204),,5.0,,-321232659141.0,-378870829204.0
-,2. > -,-,Chi phí lãi vay,06,,385.698.233.569,310.148.255.529,,6.0,,385698233569.0,310148255529.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,657.188.866.803,438.389.642.964,,8.0,,657188866803.0,438389642964.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,,(1.064.720.933.180),(311.017.982.493),,9.0,,-1064720933180.0,-311017982493.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,,505.121.641.241,62.418.097.741,,10.0,,505121641241.0,62418097741.0
-,2. > -,-,"Tăng, giảm các khoản phải trả",11,,1.625.819.333.822,1.060.379.932.735,,11.0,,1625819333822.0,1060379932735.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,,66.364.046.215,(53.290.321.005),,12.0,,66364046215.0,-53290321005.0
-,2. > -,-,"Tăng, giảm chứng khoán kinh doanh",13,,356.531.560.000,(360.454.500.000),,13.0,,356531560000.0,-360454500000.0
-,2. > -,-,Tiền lãi vay đã trả,14,,(420.493.414.921),(334.697.813.590),,14.0,,-420493414921.0,-334697813590.0
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,,(133.615.253.863),(21.374.786.780),,15.0,,-133615253863.0,-21374786780.0
-,2. > -,-,Tiền thu khác từ hoạt động kinh doanh,16,,-,-,,16.0,,,
-,2. > -,-,Tiền chi khác cho hoạt động kinh doanh,17,,(88.000.000),(495.138.599),,17.0,,-88000000.0,-495138599.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,1.592.107.846.117,479.857.130.973,,20.0,,1592107846117.0,479857130973.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,
1.,II. > 1.,1.,"Tiền chi để mua sắm, xây dựng tài sản cố định và các tài sản dài hạn khác",21,,(209.017.829.229),(191.462.769.560),,21.0,,-209017829229.0,-191462769560.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán tài sản cố định và các tài sản dài hạn khác",22,,20.358.173.730,15.428.803.754,,22.0,,20358173730.0,15428803754.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,(1.565.790.902.813),(1.194.672.073.506),,23.0,,-1565790902813.0,-1194672073506.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,1.371.273.924.141,1.214.234.373.506,,24.0,,1371273924141.0,1214234373506.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(174.726.000.000),(795.912.557.191),,25.0,,-174726000000.0,-795912557191.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,,536.135.658.978,1.041.488.569.523,,26.0,,536135658978.0,1041488569523.0
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,109.816.452.688,60.478.567.243,,27.0,,109816452688.0,60478567243.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,88.049.477.495,149.582.913.769,,30.0,,88049477495.0,149582913769.0
