row_label_raw,row_label_full,2.2.2 Đầu tư nằm giữ đến ngày đáo hạn dài hạn,2.2.2 Đầu tư nằm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Giá gốc,2.2.2 Đầu tư nằm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Giá trị hợp lý,2.2.2 Đầu tư nằm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Dự phòng,2.2.2 Đầu tư nằm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Giá gốc,2.2.2 Đầu tư nằm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Giá trị hợp lý,2.2.2 Đầu tư nằm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Dự phòng,numeric__2.2.2 Đầu tư nằm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Giá gốc,numeric__2.2.2 Đầu tư nằm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Giá trị hợp lý,numeric__2.2.2 Đầu tư nằm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Dự phòng,numeric__2.2.2 Đầu tư nằm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Giá gốc,numeric__2.2.2 Đầu tư nằm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Giá trị hợp lý,numeric__2.2.2 Đầu tư nằm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Dự phòng
Trái phiếu dài hạn,Trái phiếu dài hạn,Trái phiếu dài hạn,3.000.000.000,3.000.000.000,-,-,-,-,3000000000.0,3000000000.0,,,,
Cộng,Cộng,Cộng,3.000.000.000,3.000.000.000,-,-,-,-,3000000000.0,3000000000.0,,,,
"2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết","2.3 Đầu tư vào Công ty liên doanh, liên kết",,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốc,Giá trị theo phương pháp vốn chủ sở hữu,Dự phòng,Giá gốc,Giá trị theo phương pháp vốn chủ sở hữu,Dự phòng,,,,,,
Công ty TNHH BOT Hùng Thắng Phú Thọ,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty TNHH BOT Hùng Thắng Phú Thọ",Công ty TNHH BOT Hùng Thắng Phú Thọ,69.000.000.000,81.445.154.105,-,69.000.000.000,79.859.455.076,-,69000000000.0,81445154105.0,,69000000000.0,79859455076.0,
Công ty TNHH NVT Holdings,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty TNHH NVT Holdings",Công ty TNHH NVT Holdings,668.100.000.000,640.354.249.536,-,257.400.000.000,257.400.000.000,-,668100000000.0,640354249536.0,,257400000000.0,257400000000.0,
Công ty cổ phần Toyota Đông Sài Gòn,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty cổ phần Toyota Đông Sài Gòn",Công ty cổ phần Toyota Đông Sài Gòn,29.106.059.000,70.284.372.925,-,-,-,-,29106059000.0,70284372925.0,,,,
Công ty TNHH Toyota Lý Thường Kiệt,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty TNHH Toyota Lý Thường Kiệt",Công ty TNHH Toyota Lý Thường Kiệt,16.925.119.945,33.596.266.403,-,-,-,-,16925119945.0,33596266403.0,,,,
Công ty cổ phần Đầu tư Savico,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty cổ phần Đầu tư Savico",Công ty cổ phần Đầu tư Savico,64.000.000.000,67.082.986.920,-,-,-,-,64000000000.0,67082986920.0,,,,
