row_label_raw,row_label_full,col_0,Quyền sử dụng đất (*),"Nhà cửa, vật kiến trúc",Tài sản khác,Tổng cộng,numeric__Quyền sử dụng đất (*),"numeric__Nhà cửa, vật kiến trúc",numeric__Tài sản khác,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,-,,,,
Tăng trong năm,Số đầu năm > Tăng trong năm,Tăng trong năm,-,7.525.526.184,-,7.525.526.184,,7525526184.0,,7525526184.0
Tăng do hợp nhất kinh doanh,Số đầu năm > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,159.362.332.080,1.018.631.307.644,530.541.500.000,1.708.535.139.724,159362332080.0,1018631307644.0,530541500000.0,1708535139724.0
"Thanh lý, nhượng bán","Số đầu năm > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(16.083.333.293),-,(16.083.333.293),,-16083333293.0,,-16083333293.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,159.362.332.080,1.010.073.500.535,530.541.500.000,1.699.977.332.615,159362332080.0,1010073500535.0,530541500000.0,1699977332615.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,-,,,,
Khấu hao trong năm,Số đầu năm > Khấu hao trong năm,Khấu hao trong năm,1.248.968.191,11.084.827.701,4.904.360.435,17.238.156.327,1248968191.0,11084827701.0,4904360435.0,17238156327.0
Tăng do hợp nhất kinh doanh,Số đầu năm > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,18.517.881.120,304.680.508.467,26.227.666.676,349.426.056.263,18517881120.0,304680508467.0,26227666676.0,349426056263.0
"Thanh lý, nhượng bán","Số đầu năm > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(8.730.267.706),-,(8.730.267.706),,-8730267706.0,,-8730267706.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,19.766.849.311,307.035.068.462,31.132.027.111,357.933.944.884,19766849311.0,307035068462.0,31132027111.0,357933944884.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,-,,,,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,139.595.482.769,703.038.432.073,499.409.472.889,1.342.043.387.731,139595482769.0,703038432073.0,499409472889.0,1342043387731.0
