row_label_raw,row_label_full,21.2 Phải trả dài hạn khác,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
Phải trả khác là bên thứ ba,Phải trả khác là bên thứ ba,Phải trả khác là bên thứ ba,1.537.179.531.474,862.882.214.510,1537179531474.0,862882214510.0
"Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn","Nhận ký quỹ, ký cược dài hạn",62.132.017.711,-,62132017711.0,
Phải trả đối tác theo hợp đồng hợp tác kinh doanh,Phải trả đối tác theo hợp đồng hợp tác kinh doanh,Phải trả đối tác theo hợp đồng hợp tác kinh doanh,851.513.824.759,410.256.249.073,851513824759.0,410256249073.0
"Phải trả, phải nộp khác","Phải trả, phải nộp khác","Phải trả, phải nộp khác",623.533.689.004,452.625.965.437,623533689004.0,452625965437.0
Phải trả khác là bên liên quan,Phải trả khác là bên liên quan,Phải trả khác là bên liên quan,-,-,,
Cộng,Phải trả khác là bên liên quan > Cộng,Cộng,1.537.179.531.474,862.882.214.510,1537179531474.0,862882214510.0
