row_label_raw,row_label_full,2.4 Đầu tư góp vốn vào đơn vị khác,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý (*),Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý (*),Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý (*),numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý (*),numeric__Số đầu năm > Dự phòng
Công ty cổ phần COTABIG,Công ty cổ phần COTABIG,Công ty cổ phần COTABIG,300.000.000,,-,300.000.000,,-,300000000.0,,,300000000.0,,
Công ty cổ phần Bất động sản Quảng Phú,Công ty cổ phần Bất động sản Quảng Phú,Công ty cổ phần Bất động sản Quảng Phú,1.000.000.000,,-,1.000.000.000,,-,1000000000.0,,,1000000000.0,,
Công ty cổ phần Đầu tư phát triển nhà và đô thị HUD 8,Công ty cổ phần Đầu tư phát triển nhà và đô thị HUD 8,Công ty cổ phần Đầu tư phát triển nhà và đô thị HUD 8,4.500.000.000,,-,4.500.000.000,,-,4500000000.0,,,4500000000.0,,
Công ty TNHH Môi trường Tasco Cù Chi,Công ty TNHH Môi trường Tasco Cù Chi,Công ty TNHH Môi trường Tasco Cù Chi,18.000.000.000,,-,18.000.000.000,,-,18000000000.0,,,18000000000.0,,
Công ty cổ phần Đầu tư Xây dựng và Thương mại Thái Bình Dương,Công ty cổ phần Đầu tư Xây dựng và Thương mại Thái Bình Dương,Công ty cổ phần Đầu tư Xây dựng và Thương mại Thái Bình Dương,14.000.000.000,,-,-,,-,14000000000.0,,,,,
Công ty Bảo hiểm Toàn Cầu,Công ty Bảo hiểm Toàn Cầu,Công ty Bảo hiểm Toàn Cầu,6.300.000.000,,-,-,,-,6300000000.0,,,,,
Công ty cổ phần Ô tô Bình Thuận,Công ty cổ phần Ô tô Bình Thuận,Công ty cổ phần Ô tô Bình Thuận,3.750.000.000,,-,-,,-,3750000000.0,,,,,
Công ty cổ phần Kim khí Thăng Long,Công ty cổ phần Kim khí Thăng Long,Công ty cổ phần Kim khí Thăng Long,92.779.924,,-,-,,-,92779924.0,,,,,
Công ty cổ phần Cơ khí Vinh,Công ty cổ phần Cơ khí Vinh,Công ty cổ phần Cơ khí Vinh,488.800.000,,(376.456.778),-,,-,488800000.0,,-376456778.0,,,
Công ty cổ phần Du thuyền SVC,Công ty cổ phần Du thuyền SVC,Công ty cổ phần Du thuyền SVC,2.500.000.000,,-,-,,-,2500000000.0,,,,,
Cộng,Cộng,Cộng,50.931.579.924,,(376.456.778),23.800.000.000,,-,50931579924.0,,-376456778.0,23800000000.0,,
