row_label_raw,row_label_full,col_0,Máy móc thiết bị,Phương tiện vận tải truyền dẫn,Tổng cộng,numeric__Máy móc thiết bị,numeric__Phương tiện vận tải truyền dẫn,numeric__Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,,,
Thuê trong năm,Thuê trong năm,Thuê trong năm,-,-,-,,,
Tăng do hợp nhất kinh doanh,Thuê trong năm > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,13.765.114.987,27.739.579.181,41.504.694.168,13765114987.0,27739579181.0,41504694168.0
Số cuối năm,Thuê trong năm > Số cuối năm,Số cuối năm,13.765.114.987,27.739.579.181,41.504.694.168,13765114987.0,27739579181.0,41504694168.0
Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,Hao mòn luỹ kế,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,,,
Khấu hao trong năm,Số đầu năm > Khấu hao trong năm,Khấu hao trong năm,388.069.218,1.577.919.732,1.965.988.950,388069218.0,1577919732.0,1965988950.0
Tăng do hợp nhất kinh doanh,Số đầu năm > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,51.347.507,1.657.491.542,1.708.839.049,51347507.0,1657491542.0,1708839049.0
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,439.416.725,3.235.411.274,3.674.827.999,439416725.0,3235411274.0,3674827999.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Số đầu năm,Số đầu năm,-,-,-,,,
Số cuối năm,Số đầu năm > Số cuối năm,Số cuối năm,13.325.698.262,24.504.167.907,37.829.866.169,13325698262.0,24504167907.0,37829866169.0
