row_label_raw,row_label_full,Tên lô đất/Địa điểm lô đất,Diện tích thuê,Thời gian thuê,Mục đích thuê,numeric__Diện tích thuê,numeric__Thời gian thuê,numeric__Mục đích thuê
"98 Đường 2 tháng 9, phường Bình Thuận, Quận Hải Châu, thành phố Đà Nẵng.","98 Đường 2 tháng 9, phường Bình Thuận, Quận Hải Châu, thành phố Đà Nẵng.","98 Đường 2 tháng 9, phường Bình Thuận, Quận Hải Châu, thành phố Đà Nẵng.",103,Từ 15/01/2021 đến 15/01/2024,Văn phòng làm việc Cen Miền Trung,103.0,,
"Lô 60 khu B2-1 đường Trần Hưng Đạo, An Hải Tây, Sơn Trà, Đà Nẵng.","Lô 60 khu B2-1 đường Trần Hưng Đạo, An Hải Tây, Sơn Trà, Đà Nẵng.","Lô 60 khu B2-1 đường Trần Hưng Đạo, An Hải Tây, Sơn Trà, Đà Nẵng.",100,Từ 01/12/2021 đến 30/11/2024,Văn phòng làm việc Cen Miền Trung,100.0,,
"Tầng 1; tòa nhà KIM SƠN BUILDING, số 16-18 Phàn Thành Tài, P. Hòa Thuận Đông, Q. Hải Châu, TP. Đà Nẵng.","Tầng 1; tòa nhà KIM SƠN BUILDING, số 16-18 Phàn Thành Tài, P. Hòa Thuận Đông, Q. Hải Châu, TP. Đà Nẵng.","Tầng 1; tòa nhà KIM SƠN BUILDING, số 16-18 Phàn Thành Tài, P. Hòa Thuận Đông, Q. Hải Châu, TP. Đà Nẵng.",110,Từ 22/07/2021 đến 22/07/2023,Văn phòng làm việc Cen Miền Trung,110.0,,
"Tầng 9 Tòa nhà VNPT, số 33 Lý Thái Tổ, phường Ninh Xá, thành phố Bắc Ninh, tỉnh Bắc Ninh.","Tầng 9 Tòa nhà VNPT, số 33 Lý Thái Tổ, phường Ninh Xá, thành phố Bắc Ninh, tỉnh Bắc Ninh.","Tầng 9 Tòa nhà VNPT, số 33 Lý Thái Tổ, phường Ninh Xá, thành phố Bắc Ninh, tỉnh Bắc Ninh.",88,Từ 01/10/2021 đến 01/05/2022,Văn phòng làm việc Cen Bắc Ninh,88.0,,
"Tầng 1 Chung cư An Phú Thịnh Garden Tower, Lô Đất B1-50 Đường số 19B, Khu Đô Thị Mới An Phú Thịnh, Thành phố Quy Nhơn, Tỉnh Bình Định.","Tầng 1 Chung cư An Phú Thịnh Garden Tower, Lô Đất B1-50 Đường số 19B, Khu Đô Thị Mới An Phú Thịnh, Thành phố Quy Nhơn, Tỉnh Bình Định.","Tầng 1 Chung cư An Phú Thịnh Garden Tower, Lô Đất B1-50 Đường số 19B, Khu Đô Thị Mới An Phú Thịnh, Thành phố Quy Nhơn, Tỉnh Bình Định.",253,03 năm kể từ ngày 01/04/2021,Văn phòng làm việc Cen Bình Định,253.0,,
"44 Nguyễn Đình Chiều, Phường Hàm Tiến, Thành Phó Phan Thiết, Tỉnh Bình Thuận, Việt Nam.","44 Nguyễn Đình Chiều, Phường Hàm Tiến, Thành Phó Phan Thiết, Tỉnh Bình Thuận, Việt Nam.","44 Nguyễn Đình Chiều, Phường Hàm Tiến, Thành Phó Phan Thiết, Tỉnh Bình Thuận, Việt Nam.",150,Từ 06/05/2021 đến 14/04/2024,Văn phòng làm việc Cen Bình Thuận,150.0,,
"Lô C13 dãy C Khu nhà Shophouse thuộc Dự án Khu Tổ hợp thương mại dịch vụ nhà ở - chung cư tại phường Đông Hương, thành phố Thanh Hóa, tỉnh Thanh Hóa.","Lô C13 dãy C Khu nhà Shophouse thuộc Dự án Khu Tổ hợp thương mại dịch vụ nhà ở - chung cư tại phường Đông Hương, thành phố Thanh Hóa, tỉnh Thanh Hóa.","Lô C13 dãy C Khu nhà Shophouse thuộc Dự án Khu Tổ hợp thương mại dịch vụ nhà ở - chung cư tại phường Đông Hương, thành phố Thanh Hóa, tỉnh Thanh Hóa.",100,Từ 01/04/2021 đến 31/03/2026,Văn phòng làm việc Cen Thanh Hóa,100.0,,
"Tầng 8, tòa nhà Phúc Nga, số 89 Phố Mới, Phường Bản Yên Nhán, Thị xã Mỹ Hảo, Tỉnh Hưng Yên, Việt Nam.","Tầng 8, tòa nhà Phúc Nga, số 89 Phố Mới, Phường Bản Yên Nhán, Thị xã Mỹ Hảo, Tỉnh Hưng Yên, Việt Nam.","Tầng 8, tòa nhà Phúc Nga, số 89 Phố Mới, Phường Bản Yên Nhán, Thị xã Mỹ Hảo, Tỉnh Hưng Yên, Việt Nam.",195,Từ 16/11/2020 đến 15/11/2022,Văn phòng làm việc Cen Hưng Yên,195.0,,
"Số HG1-19 Lô SH-07 đất kết hợp DVTM khu dịch vụ cao cấp Bến Đoàn, Phường Hồng Gai, Thành Phố Hạ Long, Quảng Ninh.","Số HG1-19 Lô SH-07 đất kết hợp DVTM khu dịch vụ cao cấp Bến Đoàn, Phường Hồng Gai, Thành Phố Hạ Long, Quảng Ninh.","Số HG1-19 Lô SH-07 đất kết hợp DVTM khu dịch vụ cao cấp Bến Đoàn, Phường Hồng Gai, Thành Phố Hạ Long, Quảng Ninh.",92,Từ 01/01/2021 đến 01/01/2024,Văn phòng làm việc Cen Quảng Ninh,92.0,,
"Tầng 2, số 137 Nguyễn Ngọc Vũ, phường Trung Hòa, quận Cầu Giấy, thành phố Hà Nội","Tầng 2, số 137 Nguyễn Ngọc Vũ, phường Trung Hòa, quận Cầu Giấy, thành phố Hà Nội","Tầng 2, số 137 Nguyễn Ngọc Vũ, phường Trung Hòa, quận Cầu Giấy, thành phố Hà Nội",1.338,Từ 15/05/2021 đến 14/05/2026,Văn phòng làm việc Cen Housing,1338.0,,
