row_label_raw,row_label_full,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚCSố phải thu đầu năm,19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚCSố phải thu đầu năm_1,Số phải nộp đầu năm,Số phải nộp trong năm,Số đã thực nộp trong năm,Số phải thu cuối năm,Số phải nộp cuối năm,numeric__19. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚCSố phải thu đầu năm_1,numeric__Số phải nộp đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Số phải thu cuối năm,numeric__Số phải nộp cuối năm
,,,VND,VND,VND,VND,VND,VND,,,,,,
Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,Thuế Giá trị gia tăng,-,24.531.024.664,116.721.299.383,66.901.794.645,-,74.350.529.402,,24531024664.0,116721299383.0,66901794645.0,,74350529402.0
Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,Thuế Thu nhập doanh nghiệp,3.106.777.248,39.351.008.467,122.997.006.821,60.450.443.296,126.874.860,98.917.669.604,3106777248.0,39351008467.0,122997006821.0,60450443296.0,126874860.0,98917669604.0
Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,Thuế Thu nhập cá nhân,-,55.154.779.423,94.921.249.348,70.331.514.578,-,79.744.514.193,,55154779423.0,94921249348.0,70331514578.0,,79744514193.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,159.379.674,454.864.406,593.496.104,-,20.747.976,,159379674.0,454864406.0,593496104.0,,20747976.0
"Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác","Phí, lệ phí và các khoản phải nộp khác",1.365.723.134,-,2.355.261.610,1.231.218.325,241.679.849,-,1365723134.0,,2355261610.0,1231218325.0,241679849.0,
,,,4.472.500.382,119.196.192.228,337.449.681.568,199.508.466.948,368.554.709,253.033.461.175,4472500382.0,119196192228.0,337449681568.0,199508466948.0,368554709.0,253033461175.0
