row_label_raw,row_label_full,"Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam","Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_1","Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_2","Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_3","Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_4","Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_5","Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_6",Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021,Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021_1,Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021_2,"numeric__Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_1","numeric__Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_2","numeric__Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_3","numeric__Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_4","numeric__Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_5","numeric__Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_6",numeric__Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021,numeric__Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021_1,numeric__Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021_2
,,,Vốn đầu tư của chủ sở hữuVND,Thặng dư vốn cổ phầnVND,Vốn khác của chủ sở hữuVND,Cổ phiếu quỹVND,Quỹ đầu tư phát triểnVND,Lợi nhuận chưa phân phốiVND,Lợi ích cổ đông không kiểm soátVND,CộngVND,,,,,,,,,,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,800.000.000.000,150.000.000.000,45.243.750.000,(1.080.000),69.420.028.780,950.113.944.684,29.521.213.590,2.044.297.857.054,,800000000000.0,150000000000.0,45243750000.0,-1080000.0,69420028780.0,950113944684.0,29521213590.0,2044297857054.0,
Tăng vốn trong năm nay (1),Tăng vốn trong năm nay (1),Tăng vốn trong năm nay (1),959.998.000.000,-,-,-,-,-,1.320.000.000,961.318.000.000,,959998000000.0,,,,,,1320000000.0,961318000000.0,
Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (1),Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (1),Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (1),159.999.080.000,-,-,-,-,(159.999.080.000),-,-,,159999080000.0,,,,,-159999080000.0,,,
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,457.982.515.200,(7.526.190.894),450.456.324.306,,,,,,,457982515200.0,-7526190894.0,450456324306.0,
Phân phối lợi nhuận tại công ty mẹ (2),Phân phối lợi nhuận tại công ty mẹ (2),Phân phối lợi nhuận tại công ty mẹ (2),95.998.490.000,-,-,-,24.596.642.177,(137.812.781.702),-,(17.217.649.525),,95998490000.0,,,,24596642177.0,-137812781702.0,,-17217649525.0,
Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,-,-,-,-,24.596.642.177,(24.596.642.177),-,-,,,,,,24596642177.0,-24596642177.0,,,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(12.298.321.089),-,(12.298.321.089),,,,,,,-12298321089.0,,-12298321089.0,
Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,Trích quỹ khen thưởng ban điều hành,-,-,-,-,-,(4.919.328.436),-,(4.919.328.436),,,,,,,-4919328436.0,,-4919328436.0,
Chia cổ tức bằng cổ phiếu (1),Chia cổ tức bằng cổ phiếu (1),Chia cổ tức bằng cổ phiếu (1),95.998.490.000,-,-,-,-,(95.998.490.000),-,-,,95998490000.0,,,,,-95998490000.0,,,
Phân phối lợi nhuận tại công ty con,Phân phối lợi nhuận tại công ty con,Phân phối lợi nhuận tại công ty con,-,-,-,-,5.076.837.987,(8.630.624.577),(1.214.524.086),(4.768.310.676),,,,,,5076837987.0,-8630624577.0,-1214524086.0,-4768310676.0,
