row_label_raw,row_label_full,Phân phối lợi nhuận,Công ty mẹ,Các Công ty con,Cộng,numeric__Công ty mẹ,numeric__Các Công ty con,numeric__Cộng
Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,Trích Quỹ đầu tư phát triển,(24.596.642.177),(5.791.263.920),(30.387.906.097),-24596642177.0,-5791263920.0,-30387906097.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",(12.298.321.089),(4.053.884.743),(16.352.205.832),-12298321089.0,-4053884743.0,-16352205832.0
Trích Quỹ khen thưởng Ban Điều hành,Trích Quỹ khen thưởng Ban Điều hành,Trích Quỹ khen thưởng Ban Điều hành,(4.919.328.436),-,(4.919.328.436),-4919328436.0,,-4919328436.0
Chi trả cổ tức,Chi trả cổ tức,Chi trả cổ tức,(95.998.490.000),-,-,-95998490000.0,,
