row_label_raw,row_label_full,col_0,Hoạt động môi giới bắt động sản,Hoạt động chuyên nhượng bắt động sản,Hoạt động cho thuê văn phòng và khác,Tổng cộng toàn doanh nghiệp,numeric__Hoạt động môi giới bắt động sản,numeric__Hoạt động chuyên nhượng bắt động sản,numeric__Hoạt động cho thuê văn phòng và khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,,,,
Doanh thu thuần từ bán hàng ra bên ngoài Giá vốn,Doanh thu thuần từ bán hàng ra bên ngoài Giá vốn,Doanh thu thuần từ bán hàng ra bên ngoài Giá vốn,1.461.842.435.672,4.091.731.971.352,44.007.448.066,5.597.581.855.090,1461842435672.0,4091731971352.0,44007448066.0,5597581855090.0
Doanh thu thuần từ bán hàng ra bên ngoài Giá vốn,Doanh thu thuần từ bán hàng ra bên ngoài Giá vốn,Doanh thu thuần từ bán hàng ra bên ngoài Giá vốn,907.520.126.148,3.562.986.780.780,15.888.382.705,4.486.395.289.633,907520126148.0,3562986780780.0,15888382705.0,4486395289633.0
Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,Lợi nhuận gộp từ hoạt động kinh doanh,554.322.309.524,528.745.190.572,28.119.065.361,1.111.186.565.457,554322309524.0,528745190572.0,28119065361.0,1111186565457.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,-,-,-,53.831.578.298,,,,53831578298.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,3.179.246.048.444,777.412.856.449,99.061.865.772,4.055.720.770.665,3179246048444.0,777412856449.0,99061865772.0,4055720770665.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,2.215.153.487.286,,,,2215153487286.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,3.179.246.048.444,777.412.856.449,99.061.865.772,6.270.874.257.951,3179246048444.0,777412856449.0,99061865772.0,6270874257951.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,415.390.301.261,238.575.375.757,26.295.057.295,680.260.734.313,415390301261.0,238575375757.0,26295057295.0,680260734313.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,2.152.281.116.173,,,,2152281116173.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,415.390.301.261,238.575.375.757,26.295.057.295,2.832.541.850.486,415390301261.0,238575375757.0,26295057295.0,2832541850486.0
