row_label_raw,row_label_full,col_0,Từ 1 nămtrở xuống.,Trên 1 nămđến 5 năm,Trên 5 năm,Cộng,numeric__Từ 1 nămtrở xuống.,numeric__Trên 1 nămđến 5 năm,numeric__Trên 5 năm,numeric__Cộng
,,,VND,VND,VND,VND,,,,
Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,Tại ngày 31/12/2021,,,,
Vay và nợ,Tại ngày 31/12/2021 > Vay và nợ,Vay và nợ,765.747.374.775,950.000.000.000,-,1.715.747.374.775,765747374775.0,950000000000.0,,1715747374775.0
"Phải trả người bán, phải trả khác","Tại ngày 31/12/2021 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",502.133.792.814,2.744.204.152,-,504.877.996.966,502133792814.0,2744204152.0,,504877996966.0
Chi phí phải trả,Tại ngày 31/12/2021 > Chi phí phải trả,Chi phí phải trả,93.060.466.998,-,-,93.060.466.998,93060466998.0,,,93060466998.0
,,,1.360.941.634.587,952.744.204.152,-,2.313.685.838.739,1360941634587.0,952744204152.0,,2313685838739.0
Tại ngày 01/01/2021,Tại ngày 01/01/2021,Tại ngày 01/01/2021,Tại ngày 01/01/2021,Tại ngày 01/01/2021,Tại ngày 01/01/2021,Tại ngày 01/01/2021,,,,
Vay và nợ,Tại ngày 01/01/2021 > Vay và nợ,Vay và nợ,370.880.740.439,450.000.000.000,-,820.880.740.439,370880740439.0,450000000000.0,,820880740439.0
"Phải trả người bán, phải trả khác","Tại ngày 01/01/2021 > Phải trả người bán, phải trả khác","Phải trả người bán, phải trả khác",551.785.443.158,1.887.396.547,-,553.672.839.705,551785443158.0,1887396547.0,,553672839705.0
Chi phí phải trả,Tại ngày 01/01/2021 > Chi phí phải trả,Chi phí phải trả,48.769.412.532,-,-,48.769.412.532,48769412532.0,,,48769412532.0
,,,971.435.596.129,451.887.396.547,-,1.423.322.992.676,971435596129.0,451887396547.0,,1423322992676.0
