row_label_raw,row_label_full,"Công ty Cổ phần Bất động sản Thế KỳTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quân Đồng Đa, Thành phố Hà Nội, Việt Nam","Công ty Cổ phần Bất động sản Thế KỳTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quân Đồng Đa, Thành phố Hà Nội, Việt Nam_1","Công ty Cổ phần Bất động sản Thế KỳTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quân Đồng Đa, Thành phố Hà Nội, Việt Nam_2","Công ty Cổ phần Bất động sản Thế KỳTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quân Đồng Đa, Thành phố Hà Nội, Việt Nam_3","Công ty Cổ phần Bất động sản Thế KỳTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quân Đồng Đa, Thành phố Hà Nội, Việt Nam_4",Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021,Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021_1,"numeric__Công ty Cổ phần Bất động sản Thế KỳTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quân Đồng Đa, Thành phố Hà Nội, Việt Nam_1","numeric__Công ty Cổ phần Bất động sản Thế KỳTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quân Đồng Đa, Thành phố Hà Nội, Việt Nam_2","numeric__Công ty Cổ phần Bất động sản Thế KỳTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quân Đồng Đa, Thành phố Hà Nội, Việt Nam_3","numeric__Công ty Cổ phần Bất động sản Thế KỳTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quân Đồng Đa, Thành phố Hà Nội, Việt Nam_4",numeric__Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021,numeric__Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021_1
(*) Chi tiết thông tin về các khoản cho vay ngắn hạn như sau:,(*) Chi tiết thông tin về các khoản cho vay ngắn hạn như sau:,(*) Chi tiết thông tin về các khoản cho vay ngắn hạn như sau:,(*) Chi tiết thông tin về các khoản cho vay ngắn hạn như sau:,(*) Chi tiết thông tin về các khoản cho vay ngắn hạn như sau:,(*) Chi tiết thông tin về các khoản cho vay ngắn hạn như sau:,(*) Chi tiết thông tin về các khoản cho vay ngắn hạn như sau:,(*) Chi tiết thông tin về các khoản cho vay ngắn hạn như sau:,(*) Chi tiết thông tin về các khoản cho vay ngắn hạn như sau:,,,,,,
Đối tượng cho vay,Đối tượng cho vay,Đối tượng cho vay,Hợp đồng vay,Thời điểm bắt đầu cho vay,Mục đích vay,"Hình thức bảo đảm và kỳ hạn, lãi suất",31/12/2021,01/01/2021,,,,,,
Công ty Cổ phần Bất động sản Galaxy Land,Đối tượng cho vay > Công ty Cổ phần Bất động sản Galaxy Land,Công ty Cổ phần Bất động sản Galaxy Land,10/01/2021/HDVV,10/01/2021,Vay vốn hoạt động kinh doanh,"12 tháng kể từ ngày ký hợp đồng, lãi suất 9%/năm",-,63.000.000.000,,,,,,63000000000.0
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Đối tượng cho vay > Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Hợp đồng vay vốn số 245/HĐVV/CRE-CIV,24/05/2021,Vay vốn hoạt động kinh doanh,"Tín chấp - kỳ hạn 12 tháng, lãi suất 9%/ năm",30.000.000.000,1.196.285.782,,,,,30000000000.0,1196285782.0
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Đối tượng cho vay > Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,1001/HĐCV/CHS-CIV,10/01/2021,Vay vốn hoạt động kinh doanh,"Tín chấp - kỳ hạn 12 tháng, lãi suất 9%/ năm",13.000.000.000,-,,,,,13000000000.0,
Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Đối tượng cho vay > Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Công ty Cổ phần Đầu tư và Phát triển Bất động sản Thế kỳ,Hợp đồng vay vốn số 30/09/2021/HDVV,30/09/2021,Vay vốn hoạt động kinh doanh,"Tín chấp - kỳ hạn 12 tháng, lãi suất 5%/ năm",57.000.000.000,-,,,,,57000000000.0,
Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Đối tượng cho vay > Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,Công ty Cổ phần Tư vấn Thiết kế và Đầu tư Xây dựng Đại Nam Sơn,HĐ số 1012/2020/HĐV/CE N-DAINAMSON,11/12/2020,"Thanh toán các chi phí đầu tư của dự án ""Xây dựng khu nhà ở thương mại An Bình Cần Thơ""",Tín chấp - kỳ hạn 20 ngày lãi suất 20%/năm,3.760.700.000,3.760.700.000,,,,,3760700000.0,3760700000.0
,,,,,,,103.760.700.000,67.956.985.782,,,,,103760700000.0,67956985782.0
(**) Chi tiết thông tin về các khoản cho vay dài hạn như sau:,(**) Chi tiết thông tin về các khoản cho vay dài hạn như sau:,(**) Chi tiết thông tin về các khoản cho vay dài hạn như sau:,(**) Chi tiết thông tin về các khoản cho vay dài hạn như sau:,(**) Chi tiết thông tin về các khoản cho vay dài hạn như sau:,(**) Chi tiết thông tin về các khoản cho vay dài hạn như sau:,(**) Chi tiết thông tin về các khoản cho vay dài hạn như sau:,(**) Chi tiết thông tin về các khoản cho vay dài hạn như sau:,(**) Chi tiết thông tin về các khoản cho vay dài hạn như sau:,,,,,,
Đối tượng cho vay,Đối tượng cho vay,Đối tượng cho vay,Hợp đồng vay,Thời điểm bắt đầu cho vay,Mục đích vay,"Hình thức bảo đảm và kỳ hạn, lãi suất",31/12/2021,01/01/2021,,,,,,
Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Đối tượng cho vay > Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Công ty Cổ phần Dịch vụ và Đầu tư Trustlink,Hợp đồng vay tài sản số 2603/2021/HĐVTS/TL-CRE,26/03/2021,"Sử dụng vào mục đích đầu tư, kinh doanh",Tín chấp - kỳ hạn 36 tháng - lãi suất 11%/năm,281.200.000.000,-,,,,,281200000000.0,
,,,,,,,281.200.000.000,-,,,,,281200000000.0,
