row_label_raw,row_label_full,Tên lô đất/Địa điểm lô đất,Diện tích thuê (m2),Thời gian thuê,Mục đích thuê,numeric__Diện tích thuê (m2),numeric__Thời gian thuê,numeric__Mục đích thuê
"Tầng 1 - tầng 2 tòa K1, K2, K3 - Công trình chung cư kết hợp dịch vụ trên ô đất ký hiệu H-CT2 thuộc Dự án Đầu tư xây dựng khu nhà ở Hi Brand tại khu đô thị mới Văn Phú, phường Phú La, quận Hà Đông, có tên thương mại là ""The K-park"".","Tầng 1 - tầng 2 tòa K1, K2, K3 - Công trình chung cư kết hợp dịch vụ trên ô đất ký hiệu H-CT2 thuộc Dự án Đầu tư xây dựng khu nhà ở Hi Brand tại khu đô thị mới Văn Phú, phường Phú La, quận Hà Đông, có tên thương mại là ""The K-park"".","Tầng 1 - tầng 2 tòa K1, K2, K3 - Công trình chung cư kết hợp dịch vụ trên ô đất ký hiệu H-CT2 thuộc Dự án Đầu tư xây dựng khu nhà ở Hi Brand tại khu đô thị mới Văn Phú, phường Phú La, quận Hà Đông, có tên thương mại là ""The K-park"".",1.244,Từ 5 đến 10 năm,Cho thuê thuê ki-ốt thương mại,1244.0,,
"Tầng 9 + 10 + 12, tòa Sao Mai Building, Số 19, Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội.","Tầng 9 + 10 + 12, tòa Sao Mai Building, Số 19, Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội.","Tầng 9 + 10 + 12, tòa Sao Mai Building, Số 19, Lê Văn Lương, Phường Nhân Chính, Quận Thanh Xuân, Thành phố Hà Nội.",1.230,5 năm,Văn phòng cho thuê,1230.0,,
"Tầng 3, tòa nhà 319 Tower, số 63 Lê Văn Lương, Cầu Giấy, Hà Nội.","Tầng 3, tòa nhà 319 Tower, số 63 Lê Văn Lương, Cầu Giấy, Hà Nội.","Tầng 3, tòa nhà 319 Tower, số 63 Lê Văn Lương, Cầu Giấy, Hà Nội.",624,5 năm,Văn phòng cho thuê,624.0,,
"Sản văn phòng số 505,506, tầng 5, tòa nhà The Golden Palm tại: Số 21, đường Lê Văn Lương, phường Nhân Chính, Quận Thanh Xuân, Hà Nội.","Sản văn phòng số 505,506, tầng 5, tòa nhà The Golden Palm tại: Số 21, đường Lê Văn Lương, phường Nhân Chính, Quận Thanh Xuân, Hà Nội.","Sản văn phòng số 505,506, tầng 5, tòa nhà The Golden Palm tại: Số 21, đường Lê Văn Lương, phường Nhân Chính, Quận Thanh Xuân, Hà Nội.",449,5 năm,Văn phòng cho thuê,449.0,,
"Sản văn phòng số 503, 504, tầng 5, tòa nhà The Golden Palm tại số 21, đường Lê Văn Lương, phường Nhân Chính, Quận Thanh Xuân, Hà Nội.","Sản văn phòng số 503, 504, tầng 5, tòa nhà The Golden Palm tại số 21, đường Lê Văn Lương, phường Nhân Chính, Quận Thanh Xuân, Hà Nội.","Sản văn phòng số 503, 504, tầng 5, tòa nhà The Golden Palm tại số 21, đường Lê Văn Lương, phường Nhân Chính, Quận Thanh Xuân, Hà Nội.",455,3 năm,Văn phòng cho thuê,455.0,,
"Khu dịch vụ thương mại 04 (tầng 2), dịch vụ thương mại 05 (tầng 2) và dịch vụ thương mại 07 (tầng 3) – Tòa CT1 theo theo thiết kế đã được phê duyệt thuộc khối chung cư tòa nhà Ban cơ yếu chính phủ tại Khu đất M2 đường Khuất Duy Tiến, phường Nhân Chính, quận Thanh Xuân, thành phố Hà Nội.","Khu dịch vụ thương mại 04 (tầng 2), dịch vụ thương mại 05 (tầng 2) và dịch vụ thương mại 07 (tầng 3) – Tòa CT1 theo theo thiết kế đã được phê duyệt thuộc khối chung cư tòa nhà Ban cơ yếu chính phủ tại Khu đất M2 đường Khuất Duy Tiến, phường Nhân Chính, quận Thanh Xuân, thành phố Hà Nội.","Khu dịch vụ thương mại 04 (tầng 2), dịch vụ thương mại 05 (tầng 2) và dịch vụ thương mại 07 (tầng 3) – Tòa CT1 theo theo thiết kế đã được phê duyệt thuộc khối chung cư tòa nhà Ban cơ yếu chính phủ tại Khu đất M2 đường Khuất Duy Tiến, phường Nhân Chính, quận Thanh Xuân, thành phố Hà Nội.","1.860,65",5 năm,Văn phòng cho thuê,1860.65,,
"Tầng 11, Tháp văn phòng - Tòa nhà Dầu Khí Nghệ An - Số 7 đường Quang Trung, thành phố Vinh, Nghệ An.","Tầng 11, Tháp văn phòng - Tòa nhà Dầu Khí Nghệ An - Số 7 đường Quang Trung, thành phố Vinh, Nghệ An.","Tầng 11, Tháp văn phòng - Tòa nhà Dầu Khí Nghệ An - Số 7 đường Quang Trung, thành phố Vinh, Nghệ An.",170,Từ 20/04/2021 đến 19/04/2022,Văn phòng làm việc Cen Nghệ An,170.0,,
"Căn nhà số B2-01, số 6, Lô 30A, đường Lê Hồng Phong, phường Lạc Viên, quận Ngô Quyền, Hải Phòng","Căn nhà số B2-01, số 6, Lô 30A, đường Lê Hồng Phong, phường Lạc Viên, quận Ngô Quyền, Hải Phòng","Căn nhà số B2-01, số 6, Lô 30A, đường Lê Hồng Phong, phường Lạc Viên, quận Ngô Quyền, Hải Phòng",92,Từ 20/04/2021 đến 19/04/2022,Văn phòng Hoàng Huy - Cen Hải Phòng,92.0,,
"Phòng 605, 606 tầng 06, Tòa nhà MB Hải Phòng, Số 6, Lô 30A, đường Lê Hồng Phong, Ngô Quyền, Hải Phòng.","Phòng 605, 606 tầng 06, Tòa nhà MB Hải Phòng, Số 6, Lô 30A, đường Lê Hồng Phong, Ngô Quyền, Hải Phòng.","Phòng 605, 606 tầng 06, Tòa nhà MB Hải Phòng, Số 6, Lô 30A, đường Lê Hồng Phong, Ngô Quyền, Hải Phòng.",124,Từ 20/10/2020 đến 19/10/2023,Văn phòng chính - Cen Hải Phòng,124.0,,
"Tầng 6, Tòa nhà Việt Đức Financial Building, số 8 Tôn Đức Thắng, phường Khai Quang, thành phố Vĩnh Yên, tỉnh Vĩnh Phúc, Việt Nam.","Tầng 6, Tòa nhà Việt Đức Financial Building, số 8 Tôn Đức Thắng, phường Khai Quang, thành phố Vĩnh Yên, tỉnh Vĩnh Phúc, Việt Nam.","Tầng 6, Tòa nhà Việt Đức Financial Building, số 8 Tôn Đức Thắng, phường Khai Quang, thành phố Vĩnh Yên, tỉnh Vĩnh Phúc, Việt Nam.",100,Từ 15/03/2021 đến 14/03/2022,Văn phòng làm việc Cen Vĩnh Phúc,100.0,,
