row_label_raw,row_label_full,"Công ty Cổ phần Bất động sản Thế KỹTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam","Công ty Cổ phần Bất động sản Thế KỹTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_1","Công ty Cổ phần Bất động sản Thế KỹTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_2","Công ty Cổ phần Bất động sản Thế KỹTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_3","Công ty Cổ phần Bất động sản Thế KỹTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_4",Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021,Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021_1,"numeric__Công ty Cổ phần Bất động sản Thế KỹTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_1","numeric__Công ty Cổ phần Bất động sản Thế KỹTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_2","numeric__Công ty Cổ phần Bất động sản Thế KỹTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_3","numeric__Công ty Cổ phần Bất động sản Thế KỹTầng 1, tòa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_4",numeric__Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021,numeric__Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021_1
16. CÁC KHOẢN VAY,16. CÁC KHOẢN VAY,16. CÁC KHOẢN VAY,16. CÁC KHOẢN VAY,16. CÁC KHOẢN VAY,16. CÁC KHOẢN VAY,16. CÁC KHOẢN VAY,16. CÁC KHOẢN VAY,16. CÁC KHOẢN VAY,,,,,,
,,,01/01/2021,01/01/2021,Trong năm,Trong năm,31/12/2021,31/12/2021,,,,,,
,,,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
,,,VND,VND,VND,VND,VND,VND,,,,,,
"a, Vay ngắn hạn- Vay ngắn hạn","16. CÁC KHOẢN VAY > a, Vay ngắn hạn- Vay ngắn hạn","a, Vay ngắn hạn- Vay ngắn hạn",370.880.740.439,370.880.740.439,6.373.694.372.461,5.978.827.738.125,765.747.374.775,765.747.374.775,370880740439.0,370880740439.0,6373694372461.0,5978827738125.0,765747374775.0,765747374775.0
"a, Vay ngắn hạn- Vay ngắn hạn","16. CÁC KHOẢN VAY > a, Vay ngắn hạn- Vay ngắn hạn","a, Vay ngắn hạn- Vay ngắn hạn",370.880.740.439,370.880.740.439,6.373.694.372.461,5.978.827.738.125,765.747.374.775,765.747.374.775,370880740439.0,370880740439.0,6373694372461.0,5978827738125.0,765747374775.0,765747374775.0
b) Vay dài hạn- Trái phiếu thường,16. CÁC KHOẢN VAY > b) Vay dài hạn- Trái phiếu thường,b) Vay dài hạn- Trái phiếu thường,450.000.000.000,450.000.000.000,500.000.000.000,-,950.000.000.000,950.000.000.000,450000000000.0,450000000000.0,500000000000.0,,950000000000.0,950000000000.0
b) Vay dài hạn- Trái phiếu thường,16. CÁC KHOẢN VAY > b) Vay dài hạn- Trái phiếu thường,b) Vay dài hạn- Trái phiếu thường,450.000.000.000,450.000.000.000,500.000.000.000,-,950.000.000.000,950.000.000.000,450000000000.0,450000000000.0,500000000000.0,,950000000000.0,950000000000.0
Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,Thông tin chi tiết liên quan đến khoản vay ngắn hạn,,,,,,
,,,,Loại tiền,Lãi suất năm,Hình thức đảm bảo,31/12/2021,01/01/2021,,,,,,
