row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,566.144.654.027,7.996.067.728.624,165.367.715.959,8.161.435.444.583,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,566144654027.0,7996067728624.0,165367715959.0,8161435444583.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,691.307.691.848,691.307.691.848,10.311.986.954,701.619.678.802,,,,,691307691848.0,691307691848.0,10311986954.0,701619678802.0
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,(133.677.476.418),(133.677.476.418),(2.255.295.896),(135.932.772.314),,,,,-133677476418.0,-133677476418.0,-2255295896.0,-135932772314.0
Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,Trả cổ tức bằng tiền mặt,,,,,(469.601.112.000),(469.601.112.000),(10.625.000.000),(480.226.112.000),,,,,-469601112000.0,-469601112000.0,-10625000000.0,-480226112000.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,603.101.817,603.101.817,-,603.101.817,,,,,603101817.0,603101817.0,,603101817.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,654.776.859.274,8.084.699.933.871,162.799.407.017,8.247.499.340.888,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,654776859274.0,8084699933871.0,162799407017.0,8247499340888.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,654.776.859.274,8.084.699.933.871,162.799.407.017,8.247.499.340.888,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,654776859274.0,8084699933871.0,162799407017.0,8247499340888.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,3.117.133.794.101,3.117.133.794.101,54.382.506.458,3.171.516.300.559,,,,,3117133794101.0,3117133794101.0,54382506458.0,3171516300559.0
"Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)","Trích Quỹ khen thưởng, phúc lợi (i)",-,-,-,-,(138.475.734.238),(138.475.734.238),(10.524.722.566),(149.000.456.804),,,,,-138475734238.0,-138475734238.0,-10524722566.0,-149000456804.0
Trả cổ tức bằng tiền mặt (ii),Trả cổ tức bằng tiền mặt (ii),Trả cổ tức bằng tiền mặt (ii),-,-,-,-,(547.867.964.000),(547.867.964.000),(8.987.500.000),(556.855.464.000),,,,,-547867964000.0,-547867964000.0,-8987500000.0,-556855464000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.914.000.000.000,21.179.913.858,(2.296.824.120),3.497.039.984.859,3.085.566.955.137,10.515.490.029.734,197.669.690.909,10.713.159.720.643,3914000000000.0,21179913858.0,-2296824120.0,3497039984859.0,3085566955137.0,10515490029734.0,197669690909.0,10713159720643.0
