row_label_raw,row_label_full,col_0,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN NGẮN HẠN,100,,9.519.579.701.251,6.314.163.032.937,,100.0,,9519579701251.0,6314163032937.0
I.,I.,I.,Tiền và các khoản tương đương tiền,110,4,2.524.115.312.966,2.029.198.585.342,,110.0,4.0,2524115312966.0,2029198585342.0
1.,1.,1.,Tiền,111,,567.149.383.517,265.139.502.295,,111.0,,567149383517.0,265139502295.0
2.,2.,2.,Các khoản tương đương tiền,112,,1.956.965.929.449,1.764.059.083.047,,112.0,,1956965929449.0,1764059083047.0
II.,II.,II.,Đầu tư tài chính ngắn hạn,120,,3.455.000.000.000,2.185.000.000.000,,120.0,,3455000000000.0,2185000000000.0
1.,1.,1.,Đầu tư nằm giữ đến ngày đáo hạn,123,5,3.455.000.000.000,2.185.000.000.000,,123.0,5.0,3455000000000.0,2185000000000.0
III.,III.,III.,Các khoản phải thu ngắn hạn,130,,488.926.629.172,340.731.443.856,,130.0,,488926629172.0,340731443856.0
1.,1.,1.,Phải thu ngắn hạn của khách hàng,131,6,262.942.321.240,223.032.121.230,,131.0,6.0,262942321240.0,223032121230.0
2.,2.,2.,Trả trước cho người bán ngắn hạn,132,7,137.517.046.753,58.161.771.022,,132.0,7.0,137517046753.0,58161771022.0
3.,3.,3.,Phải thu ngắn hạn khác,136,8,321.676.658.968,292.846.621.763,,136.0,8.0,321676658968.0,292846621763.0
4.,4.,4.,Dự phòng phải thu ngắn hạn khó đòi,137,9,(233.476.873.759),(233.576.422.659),,137.0,9.0,-233476873759.0,-233576422659.0
5.,5.,5.,Tài sản thiếu chờ xử lý,139,,267.475.970,267.352.500,,139.0,,267475970.0,267352500.0
IV.,IV.,IV.,Hàng tồn kho,140,10,2.775.533.988.246,1.468.360.373.620,,140.0,10.0,2775533988246.0,1468360373620.0
1.,1.,1.,Hàng tồn kho,141,,2.778.813.854.584,1.494.665.449.780,,141.0,,2778813854584.0,1494665449780.0
2.,2.,2.,Dự phòng giảm giá hàng tồn kho,149,,(3.279.866.338),(26.305.076.160),,149.0,,-3279866338.0,-26305076160.0
V.,V.,V.,Tài sản ngắn hạn khác,150,,276.003.770.867,290.872.630.119,,150.0,,276003770867.0,290872630119.0
1.,1.,1.,Chi phí trả trước ngắn hạn,151,11,15.329.149.739,27.025.250.532,,151.0,11.0,15329149739.0,27025250532.0
2.,2.,2.,Thuế giá trị gia tăng được khấu trừ,152,,257.422.886.104,256.938.273.841,,152.0,,257422886104.0,256938273841.0
3.,3.,3.,Thuế và các khoản khác phải thu Nhà nước,153,15,3.251.735.024,6.909.105.746,,153.0,15.0,3251735024.0,6909105746.0
