row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > VND,Số đầu năm > Giá trị,Số đầu năm > VND,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > VND,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > VND
a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,a. Các khoản phải trả người bán ngắn hạn,,,,,,,,
Công ty TNHH Baconco,a. Các khoản phải trả người bán ngắn hạn > Công ty TNHH Baconco,Công ty TNHH Baconco,75.059.625.444,75.059.625.444,-,-,75059625444.0,75059625444.0,,
Công ty TNHH MTV Hóa chất Đức Giang Lào Cai,a. Các khoản phải trả người bán ngắn hạn > Công ty TNHH MTV Hóa chất Đức Giang Lào Cai,Công ty TNHH MTV Hóa chất Đức Giang Lào Cai,71.326.012.800,71.326.012.800,-,-,71326012800.0,71326012800.0,,
Uralkali Trading SIA,a. Các khoản phải trả người bán ngắn hạn > Uralkali Trading SIA,Uralkali Trading SIA,-,-,48.839.480.801,48.839.480.801,,,48839480801.0,48839480801.0
Các nhà cung cấp khác,a. Các khoản phải trả người bán ngắn hạn > Các nhà cung cấp khác,Các nhà cung cấp khác,258.795.349.852,258.795.349.852,120.485.475.809,120.485.475.809,258795349852.0,258795349852.0,120485475809.0,120485475809.0
,,,405.180.988.096,405.180.988.096,169.324.956.610,169.324.956.610,405180988096.0,405180988096.0,169324956610.0,169324956610.0
b. Phải trả người bán là các bên liên quan (Chi tiết tại Thuyết minh số 39),a. Các khoản phải trả người bán ngắn hạn > b. Phải trả người bán là các bên liên quan (Chi tiết tại Thuyết minh số 39),b. Phải trả người bán là các bên liên quan (Chi tiết tại Thuyết minh số 39),366.201.095.053,366.201.095.053,283.552.152.286,283.552.152.286,366201095053.0,366201095053.0,283552152286.0,283552152286.0
,,,366.201.095.053,366.201.095.053,283.552.152.286,283.552.152.286,366201095053.0,366201095053.0,283552152286.0,283552152286.0
Tổng cộng,a. Các khoản phải trả người bán ngắn hạn > Tổng cộng,Tổng cộng,771.382.083.149,771.382.083.149,452.877.108.896,452.877.108.896,771382083149.0,771382083149.0,452877108896.0,452877108896.0
