row_label_raw,row_label_full,col_0,"Dự phòng sửa chữa,bảo dưỡng tổng thểVND","numeric__Dự phòng sửa chữa,bảo dưỡng tổng thểVND"
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,467.511.021.812,467511021812.0
Trích lập dự phòng bố sung trong năm,Trích lập dự phòng bố sung trong năm,Trích lập dự phòng bố sung trong năm,58.948.551.633,58948551633.0
Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,Các khoản dự phòng đã sử dụng,(340.646.080.767),-340646080767.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,185.813.492.678,185813492678.0
