row_label_raw,row_label_full,Tên công ty con/công ty liên kết,Trụ sở chính,Tỷ lệ phần sở hữu (%),Tỷ lệ quyền biểu quyết nấm giữ (%),Hoạt động chính,numeric__Trụ sở chính,numeric__Tỷ lệ phần sở hữu (%),numeric__Tỷ lệ quyền biểu quyết nấm giữ (%),numeric__Hoạt động chính
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,
1. Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,Công ty con > 1. Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,1. Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,Tính Bình Định,"75,00","75,00",Kinh doanh phân bón và hóa chất,,75.0,75.0,
2. Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,Công ty con > 2. Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,2. Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,TP. Cần Thơ,"75,00","75,00",Kinh doanh phân bón và hóa chất,,75.0,75.0,
3. Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,Công ty con > 3. Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,3. Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,TP. Hồ Chí Minh,"75,00","75,00",Kinh doanh phân bón và hóa chất,,75.0,75.0,
4. Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Công ty con > 4. Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,4. Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,Hà Nội,"75,00","75,00",Kinh doanh phân bón và hóa chất,,75.0,75.0,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,
1. Công ty Cổ phần Bao bì Đạm Phú Mỹ,Công ty liên kết > 1. Công ty Cổ phần Bao bì Đạm Phú Mỹ,1. Công ty Cổ phần Bao bì Đạm Phú Mỹ,Tính Bà Rịa - Vũng Tàu,"43,34","43,34",Sản xuất bao bì,,43.34,43.34,
2. Công ty Cổ phần Phát triển Đồ thị Dầu khí,Công ty liên kết > 2. Công ty Cổ phần Phát triển Đồ thị Dầu khí,2. Công ty Cổ phần Phát triển Đồ thị Dầu khí,TP. Cần Thơ,"35,63","35,63","Xây dựng công trình dân dụng, công nghiệp và cung cấp dịch vụ",,35.63,35.63,
3. Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,Công ty liên kết > 3. Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,3. Công ty Cổ phần Hóa đầu và Xơ sợi Việt Nam,TP. Hải Phòng,"25,99","25,99",Sản xuất và mua bán xơ sợi polyester,,25.99,25.99,
