row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,,12.881.680.840.632,7.867.574.305.211,,1.0,,12881680840632.0,7867574305211.0
2.,2.,2.,Các khoản giảm trừ doanh thu,02,,95.539.647.280,105.755.700.648,,2.0,,95539647280.0,105755700648.0
3.,3.,3.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,29,12.786.141.193.352,7.761.818.604.563,,10.0,29.0,12786141193352.0,7761818604563.0
4.,4.,4.,Giá vốn hàng bán và dịch vụ cung cấp,11,29,8.000.602.438.317,6.032.014.990.990,,11.0,29.0,8000602438317.0,6032014990990.0
5.,5.,5.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,29,4.785.538.755.035,1.729.803.613.573,,20.0,29.0,4785538755035.0,1729803613573.0
6.,6.,6.,Doanh thu hoạt động tài chính,21,31,175.513.945.627,179.636.016.847,,21.0,31.0,175513945627.0,179636016847.0
7.,7.,7.,Chi phí tài chính,22,32,74.648.067.031,94.847.103.094,,22.0,32.0,74648067031.0,94847103094.0
,,,- Trong đó: Chi phí lãi vay,23,,69.266.472.919,88.463.426.175,,23.0,,69266472919.0,88463426175.0
8.,8.,8.,"Phần lãi trong công ty liên kết, liên doanh",24,,2.503.197.142,2.437.351.362,,24.0,,2503197142.0,2437351362.0
9.,9.,9.,Chi phí bán hàng,25,33,817.762.955.253,654.617.057.501,,25.0,33.0,817762955253.0,654617057501.0
10.,10.,10.,Chi phí quản lý doanh nghiệp,26,33,424.973.596.372,409.071.818.150,,26.0,33.0,424973596372.0,409071818150.0
11.,11.,11.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,3.646.171.279.148,753.341.003.037,,30.0,,3646171279148.0,753341003037.0
12.,12.,12.,Thu nhập khác,31,34,155.255.174.993,96.475.936.092,,31.0,34.0,155255174993.0,96475936092.0
13.,13.,13.,Chi phí khác,32,35,1.955.231.521,1.926.168.341,,32.0,35.0,1955231521.0,1926168341.0
14.,14.,14.,Lợi nhuận khác (40=31-32),40,,153.299.943.472,94.549.767.751,,40.0,,153299943472.0,94549767751.0
15.,15.,15.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,3.799.471.222.620,847.890.770.788,,50.0,,3799471222620.0,847890770788.0
16.,16.,16.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,36,605.412.217.929,166.619.580.888,,51.0,36.0,605412217929.0,166619580888.0
17.,17.,17.,Chi phí/(thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,36,22.542.704.132,(20.348.488.902),,52.0,36.0,22542704132.0,-20348488902.0
18.,18.,18.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,3.171.516.300.559,701.619.678.802,,60.0,,3171516300559.0,701619678802.0
18.1,18.1,18.1,Lợi nhuận sau thuế của Công ty mẹ,61,,3.117.133.794.101,691.307.691.848,,61.0,,3117133794101.0,691307691848.0
18.2,18.2,18.2,Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,54.382.506.458,10.311.986.954,,62.0,,54382506458.0,10311986954.0
19.,19.,19.,Lãi cơ bản trên cổ phiếu,70,37,,1.413,,70.0,37.0,,1413.0
