row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc VND,Máy móc và thiết bị VND,Phương tiện vận tải VND,Thiết bị văn phòng VND,Khác VND,Tổng VND,numeric__Nhà cửa và vật kiến trúc VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị văn phòng VND,numeric__Khác VND,numeric__Tổng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,2.364.872.583.781,8.243.076.932.348,90.135.588.984,310.390.452.387,637.984.489.504,11.646.460.047.004,2364872583781.0,8243076932348.0,90135588984.0,310390452387.0,637984489504.0,11646460047004.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,48.913.000,5.814.321.427,2.930.081.744,12.105.982.330,-,20.899.298.501,48913000.0,5814321427.0,2930081744.0,12105982330.0,,20899298501.0
Điều chỉnh quyết toán,NGUYÊN GIÁ > Điều chỉnh quyết toán,Điều chỉnh quyết toán,(28.157.966.588),(72.551.395.723),-,-,(15.966.987.306),(116.676.349.617),-28157966588.0,-72551395723.0,,,-15966987306.0,-116676349617.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(3.069.000.000),(331.712.728),(376.899.818),-,(3.777.612.546),,-3069000000.0,-331712728.0,-376899818.0,,-3777612546.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,2.336.763.530.193,8.173.270.858.052,92.733.958.000,322.119.534.899,622.017.502.198,11.546.905.383.342,2336763530193.0,8173270858052.0,92733958000.0,322119534899.0,622017502198.0,11546905383342.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,1.410.097.203.690,6.174.931.758.577,76.470.495.016,254.812.298.038,291.277.404.298,8.207.589.159.619,1410097203690.0,6174931758577.0,76470495016.0,254812298038.0,291277404298.0,8207589159619.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,128.507.595.855,260.232.108.957,3.753.022.399,27.149.419.941,94.095.878.310,513.738.025.462,128507595855.0,260232108957.0,3753022399.0,27149419941.0,94095878310.0,513738025462.0
Điều chỉnh quyết toán,GIÁ TRỊ HAO MÒN LỦY KẾ > Điều chỉnh quyết toán,Điều chỉnh quyết toán,(11.510.147.371),(27.714.762.840),-,(2.040.105),(15.196.217.547),(54.423.167.863),-11510147371.0,-27714762840.0,,-2040105.0,-15196217547.0,-54423167863.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.790.609.836),(320.923.085),(376.899.818),-,(3.488.432.739),,-2790609836.0,-320923085.0,-376899818.0,,-3488432739.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,1.527.094.652.174,6.404.658.494.858,79.902.594.330,281.582.778.056,370.177.065.061,8.663.415.584.479,1527094652174.0,6404658494858.0,79902594330.0,281582778056.0,370177065061.0,8663415584479.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,954.775.380.091,2.068.145.173.771,13.665.093.968,55.578.154.349,346.707.085.206,3.438.870.887.385,954775380091.0,2068145173771.0,13665093968.0,55578154349.0,346707085206.0,3438870887385.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,809.668.878.019,1.768.612.363.194,12.831.363.670,40.536.756.843,251.840.437.137,2.883.489.798.863,809668878019.0,1768612363194.0,12831363670.0,40536756843.0,251840437137.0,2883489798863.0
