row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải thu/nộp trong nămVND,Số đã thực thu/nộp trong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải thu/nộp trong nămVND,numeric__Số đã thực thu/nộp trong nămVND,numeric__Số cuối nămVND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,3.152.818.774,-,-,3.152.818.774,3152818774.0,,,3152818774.0
Thuế thu nhập cá nhân,a. Các khoản phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,3.756.286.972,3.756.286.972,-,-,3756286972.0,3756286972.0,,
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,-,-,98.916.250,98.916.250,,,98916250.0,98916250.0
,,,6.909.105.746,3.756.286.972,98.916.250,3.251.735.024,6909105746.0,3756286972.0,98916250.0,3251735024.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,4.675.902.225,64.980.965.807,60.205.079.041,9.451.788.991,4675902225.0,64980965807.0,60205079041.0,9451788991.0
- Thuế GTGT hàng bán nội địa,b. Các khoản phải trả > - Thuế GTGT hàng bán nội địa,- Thuế GTGT hàng bán nội địa,4.675.902.225,61.104.497.861,56.328.611.095,9.451.788.991,4675902225.0,61104497861.0,56328611095.0,9451788991.0
- Thuế GTGT hàng nhập khẩu,b. Các khoản phải trả > - Thuế GTGT hàng nhập khẩu,- Thuế GTGT hàng nhập khẩu,-,3.876.467.946,3.876.467.946,-,,3876467946.0,3876467946.0,
"Thuế xuất, nhập khẩu","b. Các khoản phải trả > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",361.848.690,69.317.882.613,52.039.159.103,17.640.572.200,361848690.0,69317882613.0,52039159103.0,17640572200.0
Thuế thu nhập doanh nghiệp,b. Các khoản phải trả > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,49.041.452.607,605.412.217.929,302.161.819.901,352.291.850.635,49041452607.0,605412217929.0,302161819901.0,352291850635.0
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,4.159.502.675,49.135.293.407,43.540.778.356,9.754.017.726,4159502675.0,49135293407.0,43540778356.0,9754017726.0
Thuế tài nguyên,b. Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,325.833.240,3.479.668.012,3.468.486.058,337.015.194,325833240.0,3479668012.0,3468486058.0,337015194.0
Thuế bảo vệ môi trường và các loại thuế khác,b. Các khoản phải trả > Thuế bảo vệ môi trường và các loại thuế khác,Thuế bảo vệ môi trường và các loại thuế khác,249.378.250,4.774.037.611,4.842.833.961,180.581.900,249378250.0,4774037611.0,4842833961.0,180581900.0
- Thuế bảo vệ môi trường,b. Các khoản phải trả > - Thuế bảo vệ môi trường,- Thuế bảo vệ môi trường,249.378.250,556.102.900,624.899.250,180.581.900,249378250.0,556102900.0,624899250.0,180581900.0
- Thuế môn bài,b. Các khoản phải trả > - Thuế môn bài,- Thuế môn bài,-,18.000.000,18.000.000,-,,18000000.0,18000000.0,
- Thuế nhà thầu nước ngoài,b. Các khoản phải trả > - Thuế nhà thầu nước ngoài,- Thuế nhà thầu nước ngoài,-,2.399.999.230,2.399.999.230,-,,2399999230.0,2399999230.0,
- Các loại thuế khác,b. Các khoản phải trả > - Các loại thuế khác,- Các loại thuế khác,-,1.799.935.481,1.799.935.481,-,,1799935481.0,1799935481.0,
,,,58.813.917.687,797.100.065.379,466.258.156.420,389.655.826.646,58813917687.0,797100065379.0,466258156420.0,389655826646.0
