row_label_raw,row_label_full,Ông Hoàng Trọng Dũng > Ông Nguyễn Tiến Vinh,Chủ tịch (bổ nhiệm ngày 27 tháng 4 năm 2021) > Chủ tịch (miễn nhiệm 28 tháng 4 năm 2021),numeric__Chủ tịch (bổ nhiệm ngày 27 tháng 4 năm 2021) > Chủ tịch (miễn nhiệm 28 tháng 4 năm 2021)
Ông Lê Cự Tân,Ông Lê Cự Tân,Ông Lê Cự Tân,Thành viên,
Ông Louis T.Nguyen,Ông Louis T.Nguyen,Ông Louis T.Nguyen,Thành viên,
Ông Dương Trí Hội,Ông Dương Trí Hội,Ông Dương Trí Hội,Thành viên,
Ông Trịnh Văn Khiêm,Ông Trịnh Văn Khiêm,Ông Trịnh Văn Khiêm,Thành viên,
Ông Tạ Quang Huy,Ông Tạ Quang Huy,Ông Tạ Quang Huy,Thành viên (miễn nhiệm 27 tháng 4 năm 2021),
