row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,130.000.000.000,-,87.086.521.293,-,217.086.521.293,130000000000.0,,87086521293.0,,217086521293.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,-,-,,,,,
Lãi trong năm,Tăng vốn trong năm > Lãi trong năm,Lãi trong năm,-,-,135.458.416.340,-,135.458.416.340,,,135458416340.0,,135458416340.0
Phân phối lợi nhuận (*),Tăng vốn trong năm > Phân phối lợi nhuận (*),Phân phối lợi nhuận (*),-,12.899.194.890,(32.247.987.225),,(19.348.792.335),,12899194890.0,-32247987225.0,,-19348792335.0
Tăng do hợp nhất Công ty Cổ phần Dịch vụ Bất động sản Ngôi Sao toàn cầu,Tăng vốn trong năm > Tăng do hợp nhất Công ty Cổ phần Dịch vụ Bất động sản Ngôi Sao toàn cầu,Tăng do hợp nhất Công ty Cổ phần Dịch vụ Bất động sản Ngôi Sao toàn cầu,-,-,-,4.351.865.425,4.351.865.425,,,,4351865425.0,4351865425.0
Tăng do hợp nhất Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao mới,Tăng vốn trong năm > Tăng do hợp nhất Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao mới,Tăng do hợp nhất Công ty Cổ phần Truyền thông và Giải trí Ngôi Sao mới,-,-,-,3.264.751.437,3.264.751.437,,,,3264751437.0,3264751437.0
Giảm do phát thuế theo biên bản kiểm tra,Tăng vốn trong năm > Giảm do phát thuế theo biên bản kiểm tra,Giảm do phát thuế theo biên bản kiểm tra,-,-,(472.762.530),-,(472.762.530),,,-472762530.0,,-472762530.0
Số dư cuối năm nay,Tăng vốn trong năm > Số dư cuối năm nay,Số dư cuối năm nay,130.000.000.000,12.899.194.890,189.824.187.878,7.616.616.862,340.339.999.630,130000000000.0,12899194890.0,189824187878.0,7616616862.0,340339999630.0
"Theo Nghị quyết của Đại Hội đồng cổ đông số 491/2017/NQ-HDQT ngày 26/04/2017, Công ty công bố việc phân phối lợi nhuận năm 2015 như sau:","Theo Nghị quyết của Đại Hội đồng cổ đông số 491/2017/NQ-HDQT ngày 26/04/2017, Công ty công bố việc phân phối lợi nhuận năm 2015 như sau:","Theo Nghị quyết của Đại Hội đồng cổ đông số 491/2017/NQ-HDQT ngày 26/04/2017, Công ty công bố việc phân phối lợi nhuận năm 2015 như sau:","Theo Nghị quyết của Đại Hội đồng cổ đông số 491/2017/NQ-HDQT ngày 26/04/2017, Công ty công bố việc phân phối lợi nhuận năm 2015 như sau:","Theo Nghị quyết của Đại Hội đồng cổ đông số 491/2017/NQ-HDQT ngày 26/04/2017, Công ty công bố việc phân phối lợi nhuận năm 2015 như sau:","Theo Nghị quyết của Đại Hội đồng cổ đông số 491/2017/NQ-HDQT ngày 26/04/2017, Công ty công bố việc phân phối lợi nhuận năm 2015 như sau:","Theo Nghị quyết của Đại Hội đồng cổ đông số 491/2017/NQ-HDQT ngày 26/04/2017, Công ty công bố việc phân phối lợi nhuận năm 2015 như sau:","Theo Nghị quyết của Đại Hội đồng cổ đông số 491/2017/NQ-HDQT ngày 26/04/2017, Công ty công bố việc phân phối lợi nhuận năm 2015 như sau:",,,,,
Lợi nhuận sau thuế thu nhập doanh nghiệp,"Theo Nghị quyết của Đại Hội đồng cổ đông số 491/2017/NQ-HDQT ngày 26/04/2017, Công ty công bố việc phân phối lợi nhuận năm 2015 như sau: > Lợi nhuận sau thuế thu nhập doanh nghiệp",Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,,65.052.624.686,,,,,65052624686.0
Trích Quỹ đầu tư phát triển,"Theo Nghị quyết của Đại Hội đồng cổ đông số 491/2017/NQ-HDQT ngày 26/04/2017, Công ty công bố việc phân phối lợi nhuận năm 2015 như sau: > Trích Quỹ đầu tư phát triển",Trích Quỹ đầu tư phát triển,,,,,12.899.194.890,,,,,12899194890.0
"Trích Quỹ khen thưởng, phúc lợi","Theo Nghị quyết của Đại Hội đồng cổ đông số 491/2017/NQ-HDQT ngày 26/04/2017, Công ty công bố việc phân phối lợi nhuận năm 2015 như sau: > Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",,,,,19.348.792.335,,,,,19348792335.0
Lợi nhuận chưa phân phối,"Theo Nghị quyết của Đại Hội đồng cổ đông số 491/2017/NQ-HDQT ngày 26/04/2017, Công ty công bố việc phân phối lợi nhuận năm 2015 như sau: > Lợi nhuận chưa phân phối",Lợi nhuận chưa phân phối,,,,,32.804.637.461,,,,,32804637461.0
Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,Chi tiết vốn đầu tư của chủ sở hữu,,,,,
,,,,Tỷ lệ,31/12/2016,Tỷ lệ,01/01/2016,,,,,
