row_label_raw,row_label_full,col_0,Năm 2016,Năm 2016_1,numeric__Năm 2016,numeric__Năm 2016_1
,,,VND,VND,,
Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,,,,
- Vốn góp đầu năm,Vốn đầu tư của chủ sở hữu > - Vốn góp đầu năm,- Vốn góp đầu năm,,130.000.000.000,,130000000000.0
- Vốn góp tăng trong năm,- Vốn góp tăng trong năm,- Vốn góp tăng trong năm,,-,,
- Vốn góp cuối năm,- Vốn góp tăng trong năm > - Vốn góp cuối năm,- Vốn góp cuối năm,,130.000.000.000,,130000000000.0
d) Cổ phiếu,d) Cổ phiếu,d) Cổ phiếu,,,,
,,,31/12/2016,01/01/2016,,
Số lượng cổ phiếu đăng ký phát hành,d) Cổ phiếu > Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,13.000.000,13.000.000,13000000.0,13000000.0
Số lượng cổ phiếu đã bán ra công chúng,d) Cổ phiếu > Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,13.000.000,13.000.000,13000000.0,13000000.0
- Cổ phiếu phổ thông,d) Cổ phiếu > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,13.000.000,13.000.000,13000000.0,13000000.0
Số lượng cổ phiếu đang lưu hành,d) Cổ phiếu > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,13.000.000,13.000.000,13000000.0,13000000.0
- Cổ phiếu phổ thông,d) Cổ phiếu > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,13.000.000,13.000.000,13000000.0,13000000.0
Mệnh giá cổ phiếu đã lưu hành (VND),d) Cổ phiếu > Mệnh giá cổ phiếu đã lưu hành (VND),Mệnh giá cổ phiếu đã lưu hành (VND),10.000,10.000,10000.0,10000.0
19. TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ,19. TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ,19. TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ,,,,
,,,,Năm 2016,,
,,,,VND,,
Doanh thu cung cấp dịch vụ,19. TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,,605.061.783.002,,605061783002.0
,,,,605.061.783.002,,605061783002.0
Trong đó: Doanh thu đối với các bên liên quan(Xem thông tin chỉ tiết tại Thuyết minh 34),19. TỔNG DOANH THU BÁN HÀNG VÀ CUNG CÁP ĐỊCH VỤ > Trong đó: Doanh thu đối với các bên liên quan(Xem thông tin chỉ tiết tại Thuyết minh 34),Trong đó: Doanh thu đối với các bên liên quan(Xem thông tin chỉ tiết tại Thuyết minh 34),,211.749.007.804,,211749007804.0
20. GIÁ VỐN HÀNG BÁN,20. GIÁ VỐN HÀNG BÁN,20. GIÁ VỐN HÀNG BÁN,,,,
,,,,Năm 2016,,
,,,,VND,,
Giá vốn của dịch vụ đã cung cấp,20. GIÁ VỐN HÀNG BÁN > Giá vốn của dịch vụ đã cung cấp,Giá vốn của dịch vụ đã cung cấp,,330.052.619.178,,330052619178.0
,,,,330.052.619.178,,330052619178.0
21. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,21. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,21. DOANH THU HOẠT ĐỘNG TÀI CHÍNH,,,,
,,,,Năm 2016,,
,,,,VND,,
"Lãi tiền gửi, lãi cho vay","21. DOANH THU HOẠT ĐỘNG TÀI CHÍNH > Lãi tiền gửi, lãi cho vay","Lãi tiền gửi, lãi cho vay",,85.989.110,,85989110.0
Lãi bán hàng trả chậm,21. DOANH THU HOẠT ĐỘNG TÀI CHÍNH > Lãi bán hàng trả chậm,Lãi bán hàng trả chậm,,455.009.776,,455009776.0
,,,,540.998.886,,540998886.0
22. CHI PHÍ TÀI CHÍNH,22. CHI PHÍ TÀI CHÍNH,22. CHI PHÍ TÀI CHÍNH,,,,
,,,,Năm 2016,,
,,,,VND,,
Lãi tiền vay,22. CHI PHÍ TÀI CHÍNH > Lãi tiền vay,Lãi tiền vay,,9.073.340.790,,9073340790.0
,,,,9.073.340.790,,9073340790.0
23. CHI PHÍ BÁN HÀNG,23. CHI PHÍ BÁN HÀNG,23. CHI PHÍ BÁN HÀNG,,,,
,,,,Năm 2016,,
,,,,VND,,
Chi phí khuyến mại,23. CHI PHÍ BÁN HÀNG > Chi phí khuyến mại,Chi phí khuyến mại,,15.817.732.803,,15817732803.0
Chi phí hỗ trợ lãi suất,23. CHI PHÍ BÁN HÀNG > Chi phí hỗ trợ lãi suất,Chi phí hỗ trợ lãi suất,,22.969.403,,22969403.0
Các khoản ghi giảm khác,23. CHI PHÍ BÁN HÀNG > Các khoản ghi giảm khác,Các khoản ghi giảm khác,,213.308.264,,213308264.0
,,,,16.054.010.470,,16054010470.0
