row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Bảo cáo kết quả hoạt động kinh doanh hợp nhất,Bảo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Bảo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Bảo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận nội bộ chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận nội bộ chưa thực hiện,Lợi nhuận nội bộ chưa thực hiện,20.973.052.139,13.416.241.453,7.556.810.686,(1.132.418.202),20973052139.0,13416241453.0,7556810686.0,-1132418202.0
Chi phí phải trả,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả,Chi phí phải trả,72.099.115,72.099.115,-,(393.556.524),72099115.0,72099115.0,,-393556524.0
Dự phòng các khoản phải thu,Tài sản thuế thu nhập hoãn lại > Dự phòng các khoản phải thu,Dự phòng các khoản phải thu,3.426.695.266,1.589.865.829,1.836.829.437,(32.956.503),3426695266.0,1589865829.0,1836829437.0,-32956503.0
Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng,Tài sản thuế thu nhập hoãn lại > Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng,Thuế TNDN đã nộp từ các khoản tiền thanh toán theo tiến độ của khách hàng,4.289.949.869,4.241.371.703,48.578.166,1.815.298.134,4289949869.0,4241371703.0,48578166.0,1815298134.0
,,,28.761.796.389,19.319.578.100,,,28761796389.0,19319578100.0,,
Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,,,,
Dự phòng các khoản đầu tư,Thuế thu nhập hoãn lại phải trả > Dự phòng các khoản đầu tư,Dự phòng các khoản đầu tư,(65.899.118.349),(59.713.343.750),(6.185.774.599),(8.520.196.709),-65899118349.0,-59713343750.0,-6185774599.0,-8520196709.0
Chi phí phải trả,Thuế thu nhập hoãn lại phải trả > Chi phí phải trả,Chi phí phải trả,(6.651.785),(6.651.785),-,-,-6651785.0,-6651785.0,,
Dự phòng các khoản phải thu,Thuế thu nhập hoãn lại phải trả > Dự phòng các khoản phải thu,Dự phòng các khoản phải thu,(336.350.564),(1.135.103.333),798.752.769,(413.551.667),-336350564.0,-1135103333.0,798752769.0,-413551667.0
,,,(66.242.120.698),(60.855.098.868),,,-66242120698.0,-60855098868.0,,
Thu nhập (chi phí) thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thuế thu nhập hoãn lại phải trả > Thu nhập (chi phí) thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập (chi phí) thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập (chi phí) thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,Thu nhập (chi phí) thuế TNDN hoãn lại tính vào báo cáo kết quả kinh doanh hợp nhất,4.055.196.459,(8.677.381.471),,,4055196459.0,-8677381471.0
