row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Vốn khác thuộc chủ sở hữu,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Vốn khác thuộc chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,5.741.031.240.000,4.503.548.710,24.503.464.043,6.193.919.585,89.978.362.170,2.236.733.731.109,8.102.944.265.617,5741031240000.0,4503548710.0,24503464043.0,6193919585.0,89978362170.0,2236733731109.0,8102944265617.0
Cổ phiếu theo chương trình lựa chọn cho người lao động,Năm trước > Cổ phiếu theo chương trình lựa chọn cho người lao động,Cổ phiếu theo chương trình lựa chọn cho người lao động,50.000.000.000,-,-,-,(50.000.000.000),-,-,50000000000.0,,,,-50000000000.0,,
Góp vốn từ cổ đông không kiểm soát,Năm trước > Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,-,-,-,-,-,6.450.000.000,6.450.000.000,,,,,,6450000000.0,6450000000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,140.670.849.757,107.408.459.617,248.079.309.374,,,,,140670849757.0,107408459617.0,248079309374.0
Cổ tức trả cho cổ đông không kiểm soát,Năm trước > Cổ tức trả cho cổ đông không kiểm soát,Cổ tức trả cho cổ đông không kiểm soát,-,-,-,-,-,(3.700.500.219),(3.700.500.219),,,,,,-3700500219.0,-3700500219.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,(474.517.403),(325.322.167),(799.839.570),,,,,-474517403.0,-325322167.0,-799839570.0
Thay đổi lệ sở hữu tại các công ty con,Năm trước > Thay đổi lệ sở hữu tại các công ty con,Thay đổi lệ sở hữu tại các công ty con,-,-,-,-,5.571.480.369,(42.425.486.434),(36.854.006.065),,,,,5571480369.0,-42425486434.0,-36854006065.0
Tăng khác,Năm trước > Tăng khác,Tăng khác,-,-,-,-,293.598.342,-,293.598.342,,,,,293598342.0,,293598342.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,5.791.031.240.000,4.503.548.710,24.503.464.043,6.193.919.585,186.039.773.235,2.304.140.881.906,8.316.412.827.479,5791031240000.0,4503548710.0,24503464043.0,6193919585.0,186039773235.0,2304140881906.0,8316412827479.0
