row_label_raw,row_label_full,Tên công ty liên kết,Tên công ty liên kết > Lĩnh vực kinh doanh,Số cuối năm > Tỷ lệ lợi ích %,Số cuối năm > Giá trị ghi số VND,Số đầu năm > Tỷ lệ lợi ích %,Số đầu năm > Giá trị ghi số VND,numeric__Tên công ty liên kết > Lĩnh vực kinh doanh,numeric__Số cuối năm > Tỷ lệ lợi ích %,numeric__Số cuối năm > Giá trị ghi số VND,numeric__Số đầu năm > Tỷ lệ lợi ích %,numeric__Số đầu năm > Giá trị ghi số VND
Công ty TNHH Địa Óc Thu Đại Thành (i),Công ty TNHH Địa Óc Thu Đại Thành (i),Công ty TNHH Địa Óc Thu Đại Thành (i),Kinh doanh BĐS,"25,3",27.000.000.000,-,-,,25.3,27000000000.0,,
Công ty Cổ phần Bát Động Sản Indochine,Công ty Cổ phần Bát Động Sản Indochine,Công ty Cổ phần Bát Động Sản Indochine,Kinh doanh và môi giới BĐS,28,3.635.505.872,28,2.396.895.164,,28.0,3635505872.0,28.0,2396895164.0
Công ty Cổ phần Tập đoàn Mogiland,Công ty Cổ phần Tập đoàn Mogiland,Công ty Cổ phần Tập đoàn Mogiland,Kinh doanh và môi giới BĐS,35,2.881.960.956,-,-,,35.0,2881960956.0,,
Công ty Cổ phần Nhà Ô Ngay Reco,Công ty Cổ phần Nhà Ô Ngay Reco,Công ty Cổ phần Nhà Ô Ngay Reco,Kinh doanh và môi giới BĐS,25,1.214.829.142,25,1.004.462.930,,25.0,1214829142.0,25.0,1004462930.0
Công ty Cổ phần Giáo dục và Phát triển Tâm Phúc,Công ty Cổ phần Giáo dục và Phát triển Tâm Phúc,Công ty Cổ phần Giáo dục và Phát triển Tâm Phúc,Giáo dục,40,177.983.577,-,-,,40.0,177983577.0,,
Công ty Cổ phần Bát Động Sản Đất Phước Thịnh,Công ty Cổ phần Bát Động Sản Đất Phước Thịnh,Công ty Cổ phần Bát Động Sản Đất Phước Thịnh,Kinh doanh và môi giới BĐS,36,83.517.171,36,5.706.400,,36.0,83517171.0,36.0,5706400.0
Công ty Cổ phần Sight Realty,Công ty Cổ phần Sight Realty,Công ty Cổ phần Sight Realty,Kinh doanh và môi giới BĐS,25,83.159.021,25,83.159.021,,25.0,83159021.0,25.0,83159021.0
Công ty Cổ phần Houzz Agent,Công ty Cổ phần Houzz Agent,Công ty Cổ phần Houzz Agent,Kinh doanh và môi giới BĐS,36,79.336.027,36,7.918.975,,36.0,79336027.0,36.0,7918975.0
Công ty Cổ phần Vision Realty,Công ty Cổ phần Vision Realty,Công ty Cổ phần Vision Realty,Kinh doanh và môi giới BĐS,36,71.692.711,36,23.263.621,,36.0,71692711.0,36.0,23263621.0
Công ty Cổ Phần Landtogo,Công ty Cổ Phần Landtogo,Công ty Cổ Phần Landtogo,Kinh doanh và môi giới BĐS,36,12.032.945,36,16.925.249,,36.0,12032945.0,36.0,16925249.0
Công ty TNHH Đầu tư Kinh doanh BĐS Lan Anh (Thuyết minh số 4),Công ty TNHH Đầu tư Kinh doanh BĐS Lan Anh (Thuyết minh số 4),Công ty TNHH Đầu tư Kinh doanh BĐS Lan Anh (Thuyết minh số 4),Kinh doanh BĐS,30,-,30,49.143.298.420,,30.0,,30.0,49143298420.0
Công ty TNHH Đầu tư Lê Gia Newland (Thuyết minh số 4),Công ty TNHH Đầu tư Lê Gia Newland (Thuyết minh số 4),Công ty TNHH Đầu tư Lê Gia Newland (Thuyết minh số 4),Kinh doanh BĐS,50,-,50,39.255.468.825,,50.0,,50.0,39255468825.0
"Công ty TNHH Tư vấn & Đầu tư Tadugo (""Tadugo"") (ii)","Công ty TNHH Tư vấn & Đầu tư Tadugo (""Tadugo"") (ii)","Công ty TNHH Tư vấn & Đầu tư Tadugo (""Tadugo"") (ii)",Kinh doanh và môi giới BĐS,25,-,25,25.000.000.000,,25.0,,25.0,25000000000.0
"Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam (""DXMN"") (iii)","Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam (""DXMN"") (iii)","Công ty Cổ phần Đầu tư và Dịch vụ Đất Xanh Miền Nam (""DXMN"") (iii)",Kinh doanh và môi giới BĐS,49,-,49,-,,49.0,,49.0,
Công ty Cổ phần Công nghệ X-tech,Công ty Cổ phần Công nghệ X-tech,Công ty Cổ phần Công nghệ X-tech,Công nghệ BĐS,40,-,-,-,,40.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,35.240.017.422,,116.937.098.605,,,35240017422.0,,116937098605.0
