row_label_raw,row_label_full,col_0,Nội dung nghiệp vụ,Năm nay,Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Năm trước
DXMN,DXMN,DXMN,Nhận gốc vay,13.931.175.222,-,,13931175222.0,
DXMN,DXMN,DXMN,Hoàn trả ký quỹ,6.500.000.000,62.150.000.000,,6500000000.0,62150000000.0
DXMN,DXMN,DXMN,Hoàn trả lãi vay,2.108.531.167,-,,2108531167.0,
DXMN,DXMN,DXMN,Lãi cho vay,576.330.811,1.151.898.268,,576330811.0,1151898268.0
DXMN,DXMN,DXMN,Doanh thu HĐHTĐT,-,18.727.272.728,,,18727272728.0
DXMN,DXMN,DXMN,Dịch vụ môi giới,-,2.888.465.731,,,2888465731.0
DXMN,DXMN,DXMN,Cung cấp dịch vụ môi giới,-,115.778.204,,,115778204.0
Hà Thuận Hùng,Hà Thuận Hùng,Hà Thuận Hùng,Cung cấp dịch vụ môi giới,6.303.769.669,15.162.686.034,,6303769669.0,15162686034.0
Hội An,Hội An,Hội An,Cung cấp dịch vụ môi giới,5.283.461.530,-,,5283461530.0,
Vicco,Vicco,Vicco,Chi phí thuê văn phòng,2.723.404.680,2.836.070.280,,2723404680.0,2836070280.0
Ông Trần Ngọc Thái,Ông Trần Ngọc Thái,Ông Trần Ngọc Thái,Phí môi giới,9.518.000,-,,9518000.0,
Ông Trần Ngọc Thái,Ông Trần Ngọc Thái,Ông Trần Ngọc Thái,Kỷ quỹ cung cấp dịch vụ,,,,,
Ông Trần Ngọc Thái,Ông Trần Ngọc Thái > Ông Trần Ngọc Thái,Ông Trần Ngọc Thái,môi giới dự án,-,17.295.910.562,,,17295910562.0
Ông Trần Ngọc Thái,Ông Trần Ngọc Thái > Ông Trần Ngọc Thái,Ông Trần Ngọc Thái,Tạm ứng,-,4.139.434.000,,,4139434000.0
Ông Trần Ngọc Thái,Ông Trần Ngọc Thái > Ông Trần Ngọc Thái,Ông Trần Ngọc Thái,Chi phí khác,-,127.980.244,,,127980244.0
Ông Trần Ngọc Thành,Ông Trần Ngọc Thái > Ông Trần Ngọc Thành,Ông Trần Ngọc Thành,Trả trước tiền mua đất,-,20.540.000.000,,,20540000000.0
Ông Phạm Văn Viên,Ông Trần Ngọc Thái > Ông Phạm Văn Viên,Ông Phạm Văn Viên,Hoàn ứng,-,16.761.175.000,,,16761175000.0
Ông Phạm Văn Viên,Ông Trần Ngọc Thái > Ông Phạm Văn Viên,Ông Phạm Văn Viên,Tạm ứng,-,11.545.000.000,,,11545000000.0
